Var1	Var2
RXN66-14	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16171	brassinosteroid biosynthesis I
LACTATE-2-MONOOXYGENASE-RXN	
RXN-16169	
RXN66-13	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16168	
LACTALDREDUCT-RXN	L-lactaldehyde degradation (anaerobic)
RXN-16167	
RXN66-12	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16166	
LACTALDEHYDE-OXI-RXN	methylglyoxal degradation VI
RXN-16164	GDP-6-deoxy-D-manno-heptose biosynthesis	GDP-6-deoxy-D-altro-heptose biosynthesis
RXN66-11	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16163	
LACTALDDEHYDROG-RXN	L-rhamnose degradation II	methylglyoxal degradation V	lactate biosynthesis (archaea)	L-lactaldehyde degradation (aerobic)
RXN-16162	GDP-6-deoxy-D-altro-heptose biosynthesis
RXN66-105	nicotine degradation IV	nicotine degradation V
RXN-16161	GDP-6-deoxy-D-altro-heptose biosynthesis
LACCOA-RXN	pyruvate fermentation to propanoate II (acrylate pathway)
RXN-16160	GDP-6-deoxy-D-manno-heptose biosynthesis	GDP-6-deoxy-D-altro-heptose biosynthesis
RXN66-104	nicotine degradation IV	nicotine degradation V
RXN-16159	
LACCASE-RXN	
RXN-16158	hydroxylated fatty acid biosynthesis (plants)
RXN66-103	nicotine degradation IV
RXN-16157	hydroxylated fatty acid biosynthesis (plants)
L-XYLULOSE-REDUCTASE-RXN	L-arabinose degradation II	D-glucuronate degradation I
RXN-16156	hydroxylated fatty acid biosynthesis (plants)
RXN66-101	nicotine degradation IV
RXN-16155	hydroxylated fatty acid biosynthesis (plants)
L-XYLOSE-1-DEHYDROGENASE-RXN	
RXN-16154	hydroxylated fatty acid biosynthesis (plants)
RXN66-10	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16153	hydroxylated fatty acid biosynthesis (plants)
L-THREONATE-3-DEHYDROGENASE-RXN	
RXN-16152	hydroxylated fatty acid biosynthesis (plants)
RXN66-1	ethanol degradation IV
RXN-16151	hydroxylated fatty acid biosynthesis (plants)
L-SORBOSE-OXIDASE-RXN	
RXN-16150	hydroxylated fatty acid biosynthesis (plants)
RXN5F9-56	phthalate degradation (aerobic)
RXN-16149	hydroxylated fatty acid biosynthesis (plants)
L-RHAMNOSE-1-DEHYDROGENASE-RXN	L-rhamnose degradation II	L-rhamnose degradation III
RXN-16148	hydroxylated fatty acid biosynthesis (plants)
RXN4FS-9	L-ascorbate biosynthesis II (L-gulose pathway)
RXN-16147	neoxaline biosynthesis
L-RHAMNONO-14-LACTONASE-RXN	L-rhamnose degradation II	L-rhamnose degradation III
RXN-16146	neoxaline biosynthesis
RXN4FS-8	L-ascorbate biosynthesis II (L-gulose pathway)
RXN-16145	meleagrin biosynthesis
L-RHAMNONATE-DEHYDRATASE-RXN	L-rhamnose degradation II	L-rhamnose degradation III
RXN-16144	meleagrin biosynthesis
RXN4FS-4	phosphatidylcholine biosynthesis IV
RXN-16143	meleagrin biosynthesis
L-PIPECOLATE-OXIDASE-RXN	L-lysine degradation II (L-pipecolate pathway)	L-lysine degradation V
RXN-16142	meleagrin biosynthesis
RXN4FS-3	phosphatidylcholine biosynthesis IV
RXN-16141	meleagrin biosynthesis
L-PIPECOLATE-DEHYDROGENASE-RXN	
RXN-16140	meleagrin biosynthesis
RXN4FS-23	
RXN-16139	aspirin triggered resolvin E biosynthesis
L-LYSINE-OXIDASE-RXN	L-lysine degradation II (L-pipecolate pathway)	L-lysine degradation VII
RXN-16138	aspirin triggered resolvin D biosynthesis	resolvin D biosynthesis
RXN4FS-22	
RXN-16137	docosahexaenoate biosynthesis III (6-desaturase, mammals)
L-LYSINE-LACTAMASE-RXN	
RXN-16136	docosahexaenoate biosynthesis III (6-desaturase, mammals)
RXN4FS-21	abscisic acid biosynthesis shunt
RXN-16135	docosahexaenoate biosynthesis III (6-desaturase, mammals)
L-LYSINE-AMINOTRANSFERASE-RXN	L-lysine degradation VI
RXN-16134	docosahexaenoate biosynthesis III (6-desaturase, mammals)
RXN4FS-20	abscisic acid biosynthesis shunt
RXN-16133	
L-LACTDEHYDROGFMN-RXN	L-lactaldehyde degradation (aerobic)
RXN-16132	docosahexaenoate biosynthesis III (6-desaturase, mammals)
RXN4FS-2	phosphatidylcholine biosynthesis V	phosphatidylcholine biosynthesis IV	phosphatidylcholine biosynthesis III
RXN-16131	docosahexaenoate biosynthesis III (6-desaturase, mammals)
L-LACTATE-DEHYDROGENASE-RXN	Bifidobacterium shunt	heterolactic fermentation	pyruvate fermentation to lactate	superpathway of glucose and xylose degradation
RXN-16130	docosahexaenoate biosynthesis III (6-desaturase, mammals)
RXN4FS-14	extended VTC2 cycle
RXN-16129	docosahexaenoate biosynthesis III (6-desaturase, mammals)
L-IDONATE-2-DEHYDROGENASE-RXN	
RXN-16128	roquefortine C biosynthesis
RXN4FS-13	extended VTC2 cycle
RXN-16127	roquefortine C biosynthesis
L-IDITOL-2-DEHYDROGENASE-RXN	
RXN-16126	roquefortine C biosynthesis
RXN4FS-12	VTC2 cycle
RXN-16125	roquefortine C biosynthesis
L-GULONOLACTONE-OXIDASE-RXN	L-ascorbate biosynthesis IV
RXN-16124	roquefortine C biosynthesis
RXN4FS-11	
RXN-16123	
L-GULONATE-3-DEHYDROGENASE-RXN	D-glucuronate degradation I
RXN-16121	stigma estolide biosynthesis
RXN4FS-10	L-ascorbate biosynthesis II (L-gulose pathway)
RXN-16120	stigma estolide biosynthesis
L-GLYCOL-DEHYDROGENASE-RXN	
RXN-16119	stigma estolide biosynthesis
RXN4FS-1	phosphatidylcholine biosynthesis III
RXN-16118	stigma estolide biosynthesis
L-GLUTAMATE-OXIDASE-RXN	
RXN-16117	stigma estolide biosynthesis
RXN490-3641	
RXN-16116	stigma estolide biosynthesis
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	UDP-N-acetyl-D-galactosamine biosynthesis III	UDP-N-acetyl-D-glucosamine biosynthesis II	UDP-N-acetyl-D-glucosamine biosynthesis I	CMP-legionaminate biosynthesis I
RXN-16114	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)
RXN490-3608	
RXN-16113	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)
L-FUCONATE-HYDRATASE-RXN	
RXN-16112	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)
RXN3O-9783	protein O-mannosylation I (yeast)
RXN-16111	
L-ASPARTATE-OXID-RXN	nicotine biosynthesis	superpathway of nicotine biosynthesis	NAD de novo biosynthesis I (from aspartate)
RXN-16110	notoamide C and D biosynthesis
RXN3O-9782	
RXN-16109	notoamide C and D biosynthesis
L-ARABINOSE-1-DEHYDROGENASE-RXN	
RXN-16103	docosahexaenoate biosynthesis IV (4-desaturase, mammals)	docosahexaenoate biosynthesis III (6-desaturase, mammals)
RXN3O-75	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-16102	docosahexaenoate biosynthesis I (lower eukaryotes)
L-ARABINONOLACTONASE-RXN	L-arabinose degradation IV	L-arabinose degradation III
RXN-16101	icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)
RXN3O-73	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	superpathway of ubiquinol-6 biosynthesis (eukaryotic)	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-16100	icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)
L-ARABINONATE-DEHYDRATASE-RXN	L-arabinose degradation IV	L-arabinose degradation III
RXN-161	butanol and isobutanol biosynthesis (engineered)	pyruvate fermentation to butanol II (engineered)	pyruvate fermentation to butanol I
RXN3O-680	sphingolipid biosynthesis (yeast)
RXN-16099	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)
L-ARABINOKINASE-RXN	UDP-beta-L-arabinose biosynthesis II (from beta-L-arabinose)
RXN-16098	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)
RXN3O-663	sphingolipid biosynthesis (yeast)
RXN-16097	arachidonate biosynthesis V (8-detaturase, mammals)	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	sciadonate biosynthesis
L-ARABINITOL-4-DEHYDROGENASE-RXN	L-arabinose degradation II
RXN-16096	arachidonate biosynthesis V (8-detaturase, mammals)	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	sciadonate biosynthesis
RXN3O-581	sphingolipid biosynthesis (yeast)
RXN-16095	arachidonate biosynthesis V (8-detaturase, mammals)	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	sciadonate biosynthesis
L-AMINO-ACID-OXIDASE-RXN	
RXN-16094	arachidonate biosynthesis V (8-detaturase, mammals)	arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	sciadonate biosynthesis
RXN3O-58	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	superpathway of ubiquinol-6 biosynthesis (eukaryotic)
RXN-16093	anditomin biosynthesis
L-AMINO-ACID-DEHYDROGENASE-RXN	
RXN-16092	anditomin biosynthesis
RXN3O-54	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-16091	anditomin biosynthesis
RXN-16090	anditomin biosynthesis
RXN3O-504	sphingolipid recycling and degradation (yeast)
RXN-16089	peramine biosynthesis
KYNURENINE-78-HYDROXYLASE-RXN	
RXN-16088	anditomin biosynthesis
RXN3O-470	pyruvate fermentation to acetoin III
RXN-16087	anditomin biosynthesis
KYNURENINE-3-MONOOXYGENASE-RXN	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	3-hydroxy-4-methyl-anthranilate biosynthesis II	3-hydroxy-4-methyl-anthranilate biosynthesis I	L-tryptophan degradation XI (mammalian, via kynurenine)
RXN-16086	anditomin biosynthesis
RXN3O-458	sphingolipid recycling and degradation (yeast)
RXN-16085	anditomin biosynthesis
KYNURENINASE-RXN	L-tryptophan degradation XI (mammalian, via kynurenine)	L-tryptophan degradation I (via anthranilate)
RXN-16084	anditomin biosynthesis
RXN3O-4157	L-tyrosine degradation III
RXN-16083	anditomin biosynthesis
KIEVITONE-HYDRATASE-RXN	kievitone detoxification
RXN-16082	docosahexaenoate biosynthesis III (6-desaturase, mammals)
RXN3O-4113	salidroside biosynthesis	L-tyrosine degradation III
RXN-16081	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)
KETOTETROSE-PHOSPHATE-ALDOLASE-RXN	
RXN-16080	anditomin biosynthesis
RXN3O-4042	fatty acid alpha-oxidation III	sphingolipid biosynthesis (yeast)
RXN-16079	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)
KETOPANTOALDOLASE-RXN	
RXN-16078	anditomin biosynthesis
RXN3O-3797	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)
RXN-16077	
KETOLACTOSE-RXN	lactose degradation II
RXN-16076	
RXN3O-347	
RXN-16075	
KETOHEXOKINASE-RXN	sucrose degradation V (sucrose alpha-glucosidase)
RXN-16074	anditomin biosynthesis
RXN3O-328	sphingolipid biosynthesis (yeast)
RXN-16073	anditomin biosynthesis
KETOGLUTREDUCT-RXN	L-glutamate degradation V (via hydroxyglutarate)
RXN-16072	anditomin biosynthesis
RXN3O-227	ergosterol biosynthesis I
RXN-16071	alpha-linolenate biosynthesis II (cyanobacteria)
KETOGLUCOSE-REDUCTASE-RXN	sucrose degradation VII (sucrose 3-dehydrogenase)
RXN-16070	stearidonate biosynthesis (cyanobacteria)
RXN3O-218	plant sterol biosynthesis	ergosterol biosynthesis I
RXN-16069	gamma-linolenate biosynthesis III (cyanobacteria)
KETOGAL-DEHYDROXY-RXN	lactose degradation II
RXN-16068	linoleate biosynthesis III (cyanobacteria)
RXN3O-203	ergosterol biosynthesis I
RXN-16067	oleate biosynthesis III (cyanobacteria)
2.7.7.8-RXN	
KETOBUTFORMLY-RXN	L-threonine degradation I
RXN-16065	
RXN3O-1983	L-lysine biosynthesis IV	coenzyme B biosynthesis	L-lysine biosynthesis V
RXN-16064	arachidonate biosynthesis III (6-desaturase, mammals)	arachidonate biosynthesis V (8-detaturase, mammals)
KETOACYLCOATHIOL-RXN	fatty acid beta-oxidation (peroxisome, yeast)	fatty acid beta-oxidation VI (peroxisome)	fatty acid beta-oxidation II (peroxisome)	fatty acid beta-oxidation I
RXN-16063	
RXN3O-178	ergosterol biosynthesis I
RXN-16062	L-isoleucine biosynthesis IV	L-isoleucine biosynthesis II
KETAMID-RXN	L-lysine degradation III
RXN-16061	
RXN3O-1380	sphingolipid biosynthesis (plants)	sphingolipid biosynthesis (yeast)
RXN-16060	
KERATAN-SULFOTRANSFERASE-RXN	
RXN-16059	myxol-2' fucoside biosynthesis
RXN3O-127	L-lysine biosynthesis IV
RXN-16058	okenone biosynthesis
KDUD-RXN	
RXN-16057	okenone biosynthesis
RXN3O-12	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	superpathway of ubiquinol-6 biosynthesis (eukaryotic)	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-16056	okenone biosynthesis
KDPGALDOL-RXN	Entner-Doudoroff pathway III (semi-phosphorylative)	3,6-anhydro-alpha-L-galactopyranose degradation	D-galacturonate degradation I	4-deoxy-L-threo-hex-4-enopyranuronate degradation	D-fructuronate degradation	Entner-Doudoroff shunt	D-glucosaminate degradation
RXN-16055	okenone biosynthesis
RXN3O-117	
RXN-16053	
KDOTRANS2-RXN	Kdo transfer to lipid IVA I
RXN-16052	
RXN3O-1120	
RXN-16051	
KDOTRANS-RXN	Kdo transfer to lipid IVA II	Kdo transfer to lipid IVA I
RXN-16050	
RXN3O-1070	
RXN-16049	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis
KDO-8PSYNTH-RXN	CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis	CMP-3-deoxy-D-manno-octulosonate biosynthesis
RXN-16048	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis
RXN3O-102	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	ubiquinol-6 bypass biosynthesis (eukaryotic)
RXN-16047	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis
KDO-8PPHOSPHAT-RXN	CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis	CMP-3-deoxy-D-manno-octulosonate biosynthesis
RXN-16046	alpha-linolenate biosynthesis I (plants and red algae)
RXN3DJ-64	L-ascorbate biosynthesis IV
RXN-16045	linoleate biosynthesis I (plants)
KDGALDOL-RXN	D-glucarate degradation I	D-galactarate degradation I
RXN-16044	arachidonate biosynthesis I (6-desaturase, lower eukaryotes)
RXN3DJ-35528	serotonin and melatonin biosynthesis
RXN-16043	arachidonate biosynthesis I (6-desaturase, lower eukaryotes)
KANAMYCIN-KINASE-RXN	
RXN-16042	icosapentaenoate biosynthesis I (lower eukaryotes)
RXN3DJ-25	sphingosine and sphingosine-1-phosphate metabolism
RXN-16041	icosapentaenoate biosynthesis I (lower eukaryotes)
JUVENILE-HORMONE-ESTERASE-RXN	
RXN-16040	
RXN3DJ-170	serotonin and melatonin biosynthesis
RXN-16037	
JUGLONE-3-MONOOXYGENASE-RXN	juglone degradation
RXN-16036	linoleate biosynthesis I (plants)
RXN3DJ-11417	sphingosine and sphingosine-1-phosphate metabolism
RXN-16034	ursodeoxycholate biosynthesis (bacteria)
ITACONYL-COA-HYDRATASE-RXN	itaconate degradation
RXN-16033	ursodeoxycholate biosynthesis (bacteria)
RXN3DJ-11230	sphingosine and sphingosine-1-phosphate metabolism
RXN-16032	palmitoleate biosynthesis III (cyanobacteria)
ISPH2-RXN	methylerythritol phosphate pathway I	methylerythritol phosphate pathway II
RXN-16030	
RXN1UA-69	
RXN-1603	triacylglycerol degradation
ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN	isovitexin glycosides biosynthesis
RXN-16027	
RXN1UA-67	
RXN-16025	
ISOPROPANOL-DEHYDROGENASE-NADP+-RXN	acetone degradation I (to methylglyoxal)	acetone degradation III (to propane-1,2-diol)	isopropanol biosynthesis (engineered)	acetone degradation II (to acetoacetate)
RXN-16024	oleate biosynthesis III (cyanobacteria)
RXN1UA-63	
RXN-16022	icosapentaenoate biosynthesis II (6-desaturase, mammals)	icosapentaenoate biosynthesis I (lower eukaryotes)
ISOPIPERITENONE-DELTA-ISOMERASE-RXN	
RXN-16021	icosapentaenoate biosynthesis II (6-desaturase, mammals)	icosapentaenoate biosynthesis I (lower eukaryotes)
RXN1UA-61	
RXN-16020	icosapentaenoate biosynthesis II (6-desaturase, mammals)	icosapentaenoate biosynthesis I (lower eukaryotes)
ISOPIPERITENOL-DEHYDROGENASE-RXN	menthol biosynthesis
RXN-1602	triacylglycerol degradation
RXN1UA-51	
RXN-16019	icosapentaenoate biosynthesis II (6-desaturase, mammals)	icosapentaenoate biosynthesis I (lower eukaryotes)
ISOORIENTIN-3-O-METHYLTRANSFERASE-RXN	
RXN-16018	
RXN1UA-50	
RXN-16017	docosahexaenoate biosynthesis II (bacteria)
ISONOCARDICIN-SYNTHASE-RXN	
RXN-16016	arachidonate biosynthesis II (bacteria)
RXN1K-87	
RXN-16015	mercaptosuccinate degradation
ISOMALTULOSE-SYNTHASE-RXN	
RXN-16014	mercaptosuccinate degradation
RXN1G-874	mycolate biosynthesis
RXN-16013	
ISOHEXENYLGLUTACONYL-COA-HYDRATASE-RXN	cis-genanyl-CoA degradation
RXN-16012	
RXN1G-811	mycolate biosynthesis
RXN-16011	
ISOFLAVONE-7-O-GLUCOSYLTRANSFERASE-RXN	
RXN-16010	
RXN1G-810	mycolate biosynthesis
RXN-16009	
ISOFLAVONE-4-O-METHYLTRANSFERASE-RXN	
RXN-16008	
RXN1G-809	mycolate biosynthesis
RXN-16007	
ISOFLAVONE-2-HYDROXYLASE-RXN	(-)-medicarpin biosynthesis
RXN-16006	N-acetylneuraminate and N-acetylmannosamine degradation II
RXN1G-808	mycolate biosynthesis
RXN-16003	
ISOCITRATE-EPIMERASE-RXN	
RXN-16002	
RXN1G-807	mycolate biosynthesis
RXN-16000	
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	TCA cycle II (plants and fungi)	TCA cycle III (animals)	L-glutamine biosynthesis III
RXN-15999	3,6-anhydro-alpha-L-galactopyranose degradation
RXN1G-6	mycothiol oxidation
RXN-15986	phycocyanobilin biosynthesis	phycoviolobilin biosynthesis
ISOCIT-CLEAV-RXN	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	TCA cycle IV (2-oxoglutarate decarboxylase)	glyoxylate cycle
RXN-15985	phycoerythrobilin biosynthesis I	phycourobilin biosynthesis	phycoerythrobilin biosynthesis II
RXN1G-4355	mycolate biosynthesis
RXN-15983	ferrichrome biosynthesis
ISOCHORSYN-RXN	2-carboxy-1,4-naphthoquinol biosynthesis	salicylate biosynthesis I	2,3-dihydroxybenzoate biosynthesis
RXN-15982	
RXN1G-4	mycothiol biosynthesis
RXN-15980	crocetin biosynthesis
ISOCHORMAT-RXN	2,3-dihydroxybenzoate biosynthesis
RXN-15979	crocetin biosynthesis
RXN1G-292	mycolate biosynthesis
RXN-15978	crocetin biosynthesis
ISOBUTYRYL-COA-MUTASE-RXN	
RXN-15977	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)	propanoyl-CoA degradation II
RXN1G-291	mycolate biosynthesis
RXN-15974	
ISOBUTYRALDOXIME-O-METHYLTRANSFERASE-RXN	
RXN-15973	
RXN1G-290	mycolate biosynthesis
RXN-15972	
ISOAMYL-RXN	
RXN-15971	candicidin biosynthesis
RXN1G-289	mycolate biosynthesis
RXN-15970	GDP-mycosamine biosynthesis
IPPISOM-RXN	mono-trans, poly-cis decaprenyl phosphate biosynthesis	mevalonate pathway III (archaea)	mevalonate pathway I	trans, trans-farnesyl diphosphate biosynthesis	all-trans-farnesol biosynthesis	methylerythritol phosphate pathway I	methylerythritol phosphate pathway II	isoprene biosynthesis II (engineered)	bisabolene biosynthesis (engineered)	mevalonate pathway II (archaea)
RXN-15969	GDP-mycosamine biosynthesis
RXN1G-288	mycolate biosynthesis
RXN-15968	lolitrem B biosynthesis
IODOPHENOL-O-METHYLTRANSFERASE-RXN	
RXN-15967	lolitrem B biosynthesis
RXN1G-2	mycothiol biosynthesis
RXN-15966	lolitrem B biosynthesis
IODIDE-PEROXIDASE-RXN	
RXN-15965	lolitrem B biosynthesis
RXN1G-186	mycothiol-mediated detoxification
RXN-15964	lolitrem B biosynthesis
INOSINEKIN-RXN	adenine and adenosine salvage V
RXN-15963	lolitrem B biosynthesis
RXN1G-1637	mycolate biosynthesis
RXN-15962	lolitrem B biosynthesis
INOSINE-NUCLEOSIDASE-RXN	adenosine nucleotides degradation I
RXN-15961	lolitrem B biosynthesis
RXN1G-1636	mycolate biosynthesis
RXN-15960	lolitrem B biosynthesis
INOSINATE-NUCLEOSIDASE-RXN	
RXN-15959	lolitrem B biosynthesis
RXN1G-1635	mycolate biosynthesis
RXN-15958	lolitrem B biosynthesis
INORGPYROPHOSPHAT-RXN	glyphosate degradation III	(aminomethyl)phosphonate degradation
