Var1	Var2
R00235	Glycolysis / Gluconeogenesis	Glyoxylate and dicarboxylate metabolism	Methane metabolism	Carbon fixation pathways in prokaryotes
R00236	Pyruvate metabolism
R00237	C5-Branched dibasic acid metabolism	Carbon fixation pathways in prokaryotes
R00238	Fatty acid degradation	Synthesis and degradation of ketone bodies	Valine, leucine and isoleucine degradation	Lysine degradation	Benzoate degradation	Tryptophan metabolism	Pyruvate metabolism	Glyoxylate and dicarboxylate metabolism	Propanoate metabolism	Butanoate metabolism	Carbon fixation pathways in prokaryotes	Terpenoid backbone biosynthesis
R00239	Arginine and proline metabolism	Carbapenem biosynthesis
R00243	Arginine biosynthesis	Alanine, aspartate and glutamate metabolism	Taurine and hypotaurine metabolism	D-Glutamine and D-glutamate metabolism	Nitrogen metabolism
R00245	Arginine and proline metabolism
R00248	Arginine biosynthesis	Alanine, aspartate and glutamate metabolism	D-Glutamine and D-glutamate metabolism	Nitrogen metabolism
R00250	
R00251	Glutathione metabolism
R00253	Arginine biosynthesis	Alanine, aspartate and glutamate metabolism	Glyoxylate and dicarboxylate metabolism	Nitrogen metabolism
R00254	Histidine metabolism
R00256	Arginine biosynthesis	Alanine, aspartate and glutamate metabolism	D-Glutamine and D-glutamate metabolism
R00257	Nicotinate and nicotinamide metabolism
R00258	Arginine biosynthesis	Alanine, aspartate and glutamate metabolism	Carbon fixation in photosynthetic organisms
R00259	Arginine biosynthesis
R00260	D-Glutamine and D-glutamate metabolism
R00261	Alanine, aspartate and glutamate metabolism	Butanoate metabolism
R00262	Glyoxylate and dicarboxylate metabolism	C5-Branched dibasic acid metabolism
R00263	
R00264	Pentose and glucuronate interconversions	Ascorbate and aldarate metabolism
R00265	
R00267	Glutathione metabolism	Carbon fixation pathways in prokaryotes
R00268	Citrate cycle (TCA cycle)
R00269	Alanine, aspartate and glutamate metabolism
R00270	Histidine metabolism
R00271	Lysine biosynthesis	Pyruvate metabolism
R00272	
R00273	Glyoxylate and dicarboxylate metabolism
R00274	Glutathione metabolism
R00275	
R00276	
R00277	Vitamin B6 metabolism
R00278	Vitamin B6 metabolism
R00279	D-Glutamine and D-glutamate metabolism
R00280	
R00281	
R00282	
R00284	
R00286	Pentose and glucuronate interconversions	Ascorbate and aldarate metabolism	Amino sugar and nucleotide sugar metabolism
R00287	Pyrimidine metabolism	Starch and sucrose metabolism
R00289	Pentose and glucuronate interconversions	Galactose metabolism	Starch and sucrose metabolism	Amino sugar and nucleotide sugar metabolism	Glycerolipid metabolism
R00291	Galactose metabolism	Amino sugar and nucleotide sugar metabolism
R00293	Amino sugar and nucleotide sugar metabolism
R00294	Nitrogen metabolism
R00295	Sulfur metabolism
R00297	
R00298	
R00299	Starch and sucrose metabolism	Streptomycin biosynthesis	Neomycin, kanamycin and gentamicin biosynthesis
R00300	
R00301	
R00302	
R00303	Starch and sucrose metabolism
R00304	
R00305	Pentose phosphate pathway
R00306	Starch and sucrose metabolism
R00307	
R00310	Porphyrin and chlorophyll metabolism
R00311	Porphyrin and chlorophyll metabolism
R00312	Porphyrin and chlorophyll metabolism
R00313	Porphyrin and chlorophyll metabolism
R00314	Porphyrin and chlorophyll metabolism
R00315	Taurine and hypotaurine metabolism	Pyruvate metabolism	Methane metabolism	Carbon fixation pathways in prokaryotes
R00316	Pyruvate metabolism
R00317	Pyruvate metabolism
R00318	Phosphonate and phosphinate metabolism
R00319	Pyruvate metabolism
R00320	Pyruvate metabolism
R00321	
R00322	Purine metabolism
R00324	
R00325	C5-Branched dibasic acid metabolism
R00326	Pyruvate metabolism
R00327	
R00328	Purine metabolism
R00329	
R00330	Purine metabolism
R00332	Purine metabolism
R00335	Purine metabolism
R00336	Purine metabolism
R00337	
R00338	
R00339	Glyoxylate and dicarboxylate metabolism
R00340	
R00341	Glycolysis / Gluconeogenesis	Citrate cycle (TCA cycle)	Pyruvate metabolism	Carbon fixation in photosynthetic organisms
R00342	Citrate cycle (TCA cycle)	Pyruvate metabolism	Glyoxylate and dicarboxylate metabolism	Methane metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation pathways in prokaryotes
R00343	Pyruvate metabolism	Carbon fixation in photosynthetic organisms
R00344	Citrate cycle (TCA cycle)	Pyruvate metabolism	Carbon fixation pathways in prokaryotes
R00345	Pyruvate metabolism	Methane metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation pathways in prokaryotes
R00346	Pyruvate metabolism
R00347	
R00348	Alanine, aspartate and glutamate metabolism
R00350	Benzoate degradation
R00351	Citrate cycle (TCA cycle)	Glyoxylate and dicarboxylate metabolism
R00352	Citrate cycle (TCA cycle)	Carbon fixation pathways in prokaryotes
R00353	Propanoate metabolism
R00354	Carbon fixation pathways in prokaryotes
R00355	Arginine biosynthesis	Alanine, aspartate and glutamate metabolism	Carbon fixation in photosynthetic organisms
R00357	Alanine, aspartate and glutamate metabolism
R00359	Alanine, aspartate and glutamate metabolism
R00360	
R00361	Citrate cycle (TCA cycle)
R00362	
R00363	
R00364	Glycine, serine and threonine metabolism
R00365	
R00366	Glycine, serine and threonine metabolism
R00367	Glycine, serine and threonine metabolism
R00368	
R00369	Alanine, aspartate and glutamate metabolism
R00371	Glycine, serine and threonine metabolism
R00372	Glycine, serine and threonine metabolism	Glyoxylate and dicarboxylate metabolism
R00373	
R00374	
R00380	
R00393	
R00394	
R00396	Alanine, aspartate and glutamate metabolism	Taurine and hypotaurine metabolism
R00397	Alanine, aspartate and glutamate metabolism
R00398	
R00399	
R00400	Alanine, aspartate and glutamate metabolism
R00401	D-Alanine metabolism
R00402	Carbon fixation pathways in prokaryotes
R00405	Citrate cycle (TCA cycle)	Propanoate metabolism	Carbon fixation pathways in prokaryotes
R00406	Carbon fixation pathways in prokaryotes
R00407	
R00408	
R00409	Propanoate metabolism
R00410	Synthesis and degradation of ketone bodies	Valine, leucine and isoleucine degradation	Butanoate metabolism
R00411	Arginine and proline metabolism
R00412	
R00414	Amino sugar and nucleotide sugar metabolism
R00416	Amino sugar and nucleotide sugar metabolism
R00417	
R00418	Amino sugar and nucleotide sugar metabolism
R00420	Amino sugar and nucleotide sugar metabolism
R00421	Amino sugar and nucleotide sugar metabolism
R00422	
R00424	
R00425	Riboflavin metabolism	Folate biosynthesis
R00426	Purine metabolism
R00428	Folate biosynthesis
R00429	Purine metabolism
R00430	Purine metabolism
R00431	Glycolysis / Gluconeogenesis	Citrate cycle (TCA cycle)	Pyruvate metabolism
R00432	Citrate cycle (TCA cycle)	Propanoate metabolism
R00434	Purine metabolism
R00436	
R00445	
R00446	Tropane, piperidine and pyridine alkaloid biosynthesis
R00447	Lysine degradation	Tropane, piperidine and pyridine alkaloid biosynthesis
R00448	Lysine degradation
R00449	Lysine degradation
R00451	Lysine biosynthesis
R00452	Lysine degradation
R00453	
R00454	Lysine degradation
R00457	
R00458	Lysine degradation
R00459	
R00460	Lysine degradation
R00461	Lysine degradation
R00462	Lysine degradation	Tropane, piperidine and pyridine alkaloid biosynthesis
R00463	
R00465	Glyoxylate and dicarboxylate metabolism
R00466	Glyoxylate and dicarboxylate metabolism
R00468	Glyoxylate and dicarboxylate metabolism
R00469	Purine metabolism
R00470	Glyoxylate and dicarboxylate metabolism
R00471	Arginine and proline metabolism
R00472	Pyruvate metabolism	Glyoxylate and dicarboxylate metabolism
R00473	Glyoxylate and dicarboxylate metabolism	Methane metabolism	Carbon fixation pathways in prokaryotes
R00474	Glyoxylate and dicarboxylate metabolism
R00475	Glyoxylate and dicarboxylate metabolism
R00476	Glyoxylate and dicarboxylate metabolism
R00477	Glyoxylate and dicarboxylate metabolism
R00478	
R00479	Glyoxylate and dicarboxylate metabolism
R00480	Glycine, serine and threonine metabolism	Monobactam biosynthesis	Cysteine and methionine metabolism	Lysine biosynthesis
R00481	Nicotinate and nicotinamide metabolism
R00482	
R00483	Alanine, aspartate and glutamate metabolism	Cyanoamino acid metabolism
R00484	Alanine, aspartate and glutamate metabolism
R00485	Alanine, aspartate and glutamate metabolism	Cyanoamino acid metabolism
R00486	Cyanoamino acid metabolism
R00487	Alanine, aspartate and glutamate metabolism
R00488	Alanine, aspartate and glutamate metabolism
R00489	beta-Alanine metabolism	Pantothenate and CoA biosynthesis
R00490	Alanine, aspartate and glutamate metabolism
R00491	Alanine, aspartate and glutamate metabolism
R00494	Glutathione metabolism
R00497	Glutathione metabolism
R00499	
R00501	Amino sugar and nucleotide sugar metabolism
R00502	Galactose metabolism	Amino sugar and nucleotide sugar metabolism
R00503	Galactose metabolism
R00504	
R00505	Galactose metabolism	Amino sugar and nucleotide sugar metabolism
R00507	Purine metabolism	Sulfur metabolism
R00508	Sulfur metabolism
R00509	Purine metabolism	Sulfur metabolism
R00510	Pyrimidine metabolism
R00511	Pyrimidine metabolism
R00512	Pyrimidine metabolism
R00513	Pyrimidine metabolism
R00514	Pyrimidine metabolism
R00515	Pyrimidine metabolism
R00516	Pyrimidine metabolism
R00517	Pyrimidine metabolism
R00518	Glyoxylate and dicarboxylate metabolism
R00519	Glyoxylate and dicarboxylate metabolism	Methane metabolism
R00521	Glyoxylate and dicarboxylate metabolism
R00522	Glyoxylate and dicarboxylate metabolism
R00524	Cyanoamino acid metabolism	Glyoxylate and dicarboxylate metabolism	Nitrogen metabolism
R00525	Histidine metabolism	Glyoxylate and dicarboxylate metabolism
R00526	Histidine metabolism	Glyoxylate and dicarboxylate metabolism
R00527	Methane metabolism
R00528	Sulfur metabolism
R00529	Purine metabolism	Monobactam biosynthesis	Sulfur metabolism
R00530	Sulfur metabolism
R00531	Sulfur metabolism
R00532	
R00533	Sulfur metabolism
R00534	
R00535	Steroid hormone biosynthesis
R00536	Steroid hormone biosynthesis
R00537	Steroid hormone biosynthesis
R00542	
R00543	
R00544	
R00545	
R00546	
R00547	
R00548	Riboflavin metabolism
R00549	Riboflavin metabolism
R00550	Riboflavin metabolism
R00551	Arginine biosynthesis	Arginine and proline metabolism
R00552	Arginine biosynthesis
R00554	Arginine and proline metabolism
R00555	
R00557	Arginine biosynthesis
R00558	Arginine and proline metabolism
R00559	Arginine and proline metabolism
R00562	Arginine and proline metabolism
R00563	Arginine and proline metabolism
R00565	Glycine, serine and threonine metabolism	Arginine and proline metabolism
R00566	Arginine and proline metabolism
R00567	D-Arginine and D-ornithine metabolism
R00568	Pyrimidine metabolism
R00569	Pyrimidine metabolism
R00570	Pyrimidine metabolism
R00571	Pyrimidine metabolism
R00572	
R00573	Pyrimidine metabolism
R00574	
R00575	Pyrimidine metabolism	Alanine, aspartate and glutamate metabolism
R00576	Alanine, aspartate and glutamate metabolism
R00577	
R00578	Alanine, aspartate and glutamate metabolism
R00579	D-Glutamine and D-glutamate metabolism
R00581	
R00582	Glycine, serine and threonine metabolism	Methane metabolism
R00584	
R00585	Glycine, serine and threonine metabolism
R00586	Cysteine and methionine metabolism	Sulfur metabolism	Biosynthesis of secondary metabolites - other antibiotics
R00588	Glycine, serine and threonine metabolism	Glyoxylate and dicarboxylate metabolism	Methane metabolism
R00589	Glycine, serine and threonine metabolism
R00594	
R00596	
R00597	
R00598	
R00599	
R00600	
R00601	
R00602	
R00603	Chloroalkane and chloroalkene degradation
R00604	Chloroalkane and chloroalkene degradation	Methane metabolism
R00605	Methane metabolism
R00606	Methane metabolism
R00608	Methane metabolism
R00609	Methane metabolism
R00610	Glycine, serine and threonine metabolism
R00611	Glycine, serine and threonine metabolism
R00612	
R00614	Chloroalkane and chloroalkene degradation	Methane metabolism
R00615	Thiamine metabolism
R00616	Thiamine metabolism
R00617	Thiamine metabolism
R00618	Thiamine metabolism
R00619	Thiamine metabolism
R00621	Citrate cycle (TCA cycle)
R00629	
R00637	
R00640	Ascorbate and aldarate metabolism
R00643	Ascorbate and aldarate metabolism
R00644	Glutathione metabolism
R00645	Ascorbate and aldarate metabolism
R00646	Ascorbate and aldarate metabolism
R00648	Cysteine and methionine metabolism
R00649	
R00650	Cysteine and methionine metabolism
R00651	
R00652	
R00653	Cysteine and methionine metabolism	Glyoxylate and dicarboxylate metabolism
R00654	Cysteine and methionine metabolism
R00655	
R00656	
R00658	Glycolysis / Gluconeogenesis	Methane metabolism
R00659	
R00660	Amino sugar and nucleotide sugar metabolism	Peptidoglycan biosynthesis
R00661	Phosphonate and phosphinate metabolism
R00662	Pyrimidine metabolism
R00664	
R00665	
R00666	
R00667	Arginine and proline metabolism
R00668	
R00669	Arginine biosynthesis
R00670	Arginine and proline metabolism	Glutathione metabolism
R00671	Arginine and proline metabolism
R00672	D-Arginine and D-ornithine metabolism	Biosynthesis of secondary metabolites - unclassified
R00673	Tryptophan metabolism
R00674	Phenylalanine, tyrosine and tryptophan biosynthesis
R00675	
R00676	
R00677	Tryptophan metabolism
R00678	Tryptophan metabolism
R00679	Tryptophan metabolism
R00681	Tryptophan metabolism
R00682	
R00683	
R00684	Tryptophan metabolism
R00685	Tryptophan metabolism	Indole alkaloid biosynthesis
R00686	Phenylalanine metabolism
R00688	Phenylalanine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
R00689	Phenylalanine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
R00690	Phenylalanine metabolism
R00691	Phenylalanine, tyrosine and tryptophan biosynthesis
R00692	Phenylalanine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Tropane, piperidine and pyridine alkaloid biosynthesis
R00693	Phenylalanine metabolism
R00694	Phenylalanine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Tropane, piperidine and pyridine alkaloid biosynthesis
R00695	
R00697	Phenylalanine metabolism	Phenylpropanoid biosynthesis
R00699	Phenylalanine metabolism
R00700	
R00702	Steroid biosynthesis	Carotenoid biosynthesis	Sesquiterpenoid and triterpenoid biosynthesis
R00703	Glycolysis / Gluconeogenesis	Pyruvate metabolism
R00704	Pyruvate metabolism
R00705	beta-Alanine metabolism	Inositol phosphate metabolism	Propanoate metabolism
R00706	beta-Alanine metabolism	Inositol phosphate metabolism	Propanoate metabolism
R00707	Alanine, aspartate and glutamate metabolism	Arginine and proline metabolism
R00708	Alanine, aspartate and glutamate metabolism	Arginine and proline metabolism
R00709	Citrate cycle (TCA cycle)
R00710	Glycolysis / Gluconeogenesis	Pyruvate metabolism
R00711	Glycolysis / Gluconeogenesis	Pyruvate metabolism
R00713	Alanine, aspartate and glutamate metabolism	Tyrosine metabolism	Butanoate metabolism	Nicotinate and nicotinamide metabolism
R00714	Alanine, aspartate and glutamate metabolism	Tyrosine metabolism	Butanoate metabolism	Nicotinate and nicotinamide metabolism
R00715	Lysine biosynthesis	Lysine degradation
R00716	Lysine degradation
R00717	Glyoxylate and dicarboxylate metabolism
R00719	Purine metabolism
R00720	Purine metabolism
R00722	Purine metabolism
R00723	Purine metabolism
R00724	
R00725	
R00726	Glycolysis / Gluconeogenesis	Citrate cycle (TCA cycle)	Pyruvate metabolism
R00727	Citrate cycle (TCA cycle)
R00728	Tyrosine metabolism
R00729	Tyrosine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Isoquinoline alkaloid biosynthesis
R00730	Cyanoamino acid metabolism
R00731	Tyrosine metabolism	Isoquinoline alkaloid biosynthesis	Betalain biosynthesis
R00732	Phenylalanine, tyrosine and tryptophan biosynthesis
R00733	Phenylalanine, tyrosine and tryptophan biosynthesis
R00734	Ubiquinone and other terpenoid-quinone biosynthesis	Tyrosine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Novobiocin biosynthesis	Isoquinoline alkaloid biosynthesis
R00735	
R00736	Tyrosine metabolism	Methane metabolism	Isoquinoline alkaloid biosynthesis
R00737	Tyrosine metabolism	Phenylpropanoid biosynthesis
R00739	Tyrosine metabolism
R00740	Propanoate metabolism	Carbon fixation pathways in prokaryotes
R00742	Fatty acid biosynthesis	Aflatoxin biosynthesis	Pyruvate metabolism	Propanoate metabolism	Carbon fixation pathways in prokaryotes
R00743	beta-Alanine metabolism
R00746	Glycolysis / Gluconeogenesis
R00747	Phosphonate and phosphinate metabolism
R00748	Glycerophospholipid metabolism
R00749	Glycerophospholipid metabolism
R00750	Phenylalanine metabolism	Benzoate degradation	Dioxin degradation	Xylene degradation
R00751	Glycine, serine and threonine metabolism
R00753	Pyruvate metabolism
R00754	Glycolysis / Gluconeogenesis
R00755	Glycolysis / Gluconeogenesis
R00756	Methane metabolism
R00758	
R00760	Starch and sucrose metabolism
R00761	Carbon fixation in photosynthetic organisms
R00762	Methane metabolism	Carbon fixation in photosynthetic organisms
R00763	
R00764	
R00765	Amino sugar and nucleotide sugar metabolism
R00766	Starch and sucrose metabolism
R00767	
R00768	Alanine, aspartate and glutamate metabolism	Amino sugar and nucleotide sugar metabolism
R00769	
R00770	
R00771	Starch and sucrose metabolism
R00772	
R00774	Arginine biosynthesis	Atrazine degradation
R00775	
R00776	Purine metabolism
R00777	
R00778	Atrazine degradation
R00782	Cysteine and methionine metabolism
R00783	Nitrogen metabolism
R00784	
R00785	Nitrogen metabolism
R00787	Nitrogen metabolism
R00789	Nitrogen metabolism
R00790	Nitrogen metabolism
R00791	Nitrogen metabolism
R00792	Nitrogen metabolism
R00793	
R00794	Nitrogen metabolism
R00796	Nitrogen metabolism
R00798	Nitrogen metabolism
R00799	
R00800	
R00801	Galactose metabolism	Starch and sucrose metabolism
R00802	
R00803	Starch and sucrose metabolism
R00805	Starch and sucrose metabolism
R00806	Starch and sucrose metabolism
R00807	Starch and sucrose metabolism
R00808	
R00809	
R00810	
R00811	Starch and sucrose metabolism
R00812	Chlorocyclohexane and chlorobenzene degradation	Benzoate degradation
R00813	Benzoate degradation
R00814	
R00815	Aminobenzoate degradation
R00816	Benzoate degradation
R00817	Benzoate degradation
R00818	Dioxin degradation	Polycyclic aromatic hydrocarbon degradation	Naphthalene degradation
R00821	Benzoate degradation	Aminobenzoate degradation
R00822	Benzoate degradation
R00823	Aminobenzoate degradation
R00825	Aminobenzoate degradation
R00827	
R00828	
R00829	Phenylalanine metabolism	Benzoate degradation
R00830	Glycine, serine and threonine metabolism	Porphyrin and chlorophyll metabolism
R00832	Arginine and proline metabolism
R00833	Valine, leucine and isoleucine degradation	Glyoxylate and dicarboxylate metabolism	Propanoate metabolism	Carbon fixation pathways in prokaryotes
R00834	
R00835	
R00836	
R00837	Starch and sucrose metabolism
R00838	Starch and sucrose metabolism
R00839	Starch and sucrose metabolism
R00841	Glycerolipid metabolism
R00842	Glycerophospholipid metabolism
R00844	Glycerophospholipid metabolism
R00845	
R00846	Glycerophospholipid metabolism
R00847	Glycerolipid metabolism
R00848	Glycerophospholipid metabolism
R00849	
R00850	
R00851	Glycerolipid metabolism	Glycerophospholipid metabolism
R00853	
R00854	
R00855	Glycerophospholipid metabolism
R00856	Glycerophospholipid metabolism
R00857	
R00858	Sulfur metabolism
R00859	Sulfur metabolism
R00860	
R00861	Sulfur metabolism
R00863	Cysteine and methionine metabolism
R00864	
R00865	Fructose and mannose metabolism
R00866	Fructose and mannose metabolism
R00867	Fructose and mannose metabolism
R00868	Fructose and mannose metabolism
R00870	Fructose and mannose metabolism
R00871	
R00872	Fructose and mannose metabolism
R00873	
R00874	
R00875	Fructose and mannose metabolism
R00876	
R00877	Fructose and mannose metabolism
R00878	Fructose and mannose metabolism
R00880	Fructose and mannose metabolism	Amino sugar and nucleotide sugar metabolism
R00881	Fructose and mannose metabolism
R00883	Fructose and mannose metabolism	Amino sugar and nucleotide sugar metabolism
R00885	Fructose and mannose metabolism	Amino sugar and nucleotide sugar metabolism
R00888	Fructose and mannose metabolism	Amino sugar and nucleotide sugar metabolism
R00889	Ascorbate and aldarate metabolism	Amino sugar and nucleotide sugar metabolism
R00891	Glycine, serine and threonine metabolism
R00892	Cysteine and methionine metabolism
R00893	Cysteine and methionine metabolism	Taurine and hypotaurine metabolism
R00894	Glutathione metabolism
R00895	Cysteine and methionine metabolism
R00896	Cysteine and methionine metabolism
R00897	Cysteine and methionine metabolism	Sulfur metabolism
R00899	Glutathione metabolism
R00900	Cysteine and methionine metabolism
R00901	Cysteine and methionine metabolism	Taurine and hypotaurine metabolism
R00903	Cysteine and methionine metabolism
R00904	beta-Alanine metabolism
R00905	Pyrimidine metabolism	beta-Alanine metabolism	Pantothenate and CoA biosynthesis
R00906	
R00907	beta-Alanine metabolism	Propanoate metabolism
R00908	beta-Alanine metabolism	Propanoate metabolism
R00909	beta-Alanine metabolism
R00910	beta-Alanine metabolism
R00911	beta-Alanine metabolism
R00912	beta-Alanine metabolism
R00913	
R00917	
R00918	Biosynthesis of 12-, 14- and 16-membered macrolides
R00919	Propanoate metabolism	Carbon fixation pathways in prokaryotes
R00920	Propanoate metabolism
R00921	Propanoate metabolism
R00922	Valine, leucine and isoleucine degradation
R00923	Propanoate metabolism
R00925	
R00926	Propanoate metabolism
R00927	Valine, leucine and isoleucine degradation
R00928	Pyruvate metabolism	Propanoate metabolism
R00930	Propanoate metabolism
R00931	Propanoate metabolism
R00932	C5-Branched dibasic acid metabolism
R00934	Glyoxylate and dicarboxylate metabolism	C5-Branched dibasic acid metabolism	Carbon fixation pathways in prokaryotes
R00935	Propanoate metabolism
R00936	One carbon pool by folate	Folate biosynthesis
R00937	One carbon pool by folate	Folate biosynthesis
R00939	One carbon pool by folate	Folate biosynthesis
R00940	One carbon pool by folate	Folate biosynthesis
R00941	One carbon pool by folate
R00942	Folate biosynthesis
R00943	One carbon pool by folate	Carbon fixation pathways in prokaryotes
R00944	Glyoxylate and dicarboxylate metabolism	One carbon pool by folate
R00945	Glycine, serine and threonine metabolism	Cyanoamino acid metabolism	Glyoxylate and dicarboxylate metabolism	One carbon pool by folate	Methane metabolism
R00946	Cysteine and methionine metabolism	One carbon pool by folate
R00947	Glycolysis / Gluconeogenesis
R00948	Starch and sucrose metabolism	Amino sugar and nucleotide sugar metabolism
R00949	Starch and sucrose metabolism
R00951	Starch and sucrose metabolism
R00952	Starch and sucrose metabolism
R00953	
R00954	Starch and sucrose metabolism	Amino sugar and nucleotide sugar metabolism
R00955	Galactose metabolism	Amino sugar and nucleotide sugar metabolism
R00956	Starch and sucrose metabolism	Amino sugar and nucleotide sugar metabolism
R00957	
R00959	Glycolysis / Gluconeogenesis	Galactose metabolism	Amino sugar and nucleotide sugar metabolism
R00960	Starch and sucrose metabolism
R00961	Purine metabolism
R00962	Pyrimidine metabolism
R00963	Pyrimidine metabolism
R00964	Pyrimidine metabolism
R00965	Pyrimidine metabolism
R00966	Pyrimidine metabolism
R00967	Pyrimidine metabolism
