model	type	id_in_tp	new_id	id_in_bigg	name	formula	charge	metabolites	reactions	bounds	gpr	descripation	old_bigg_ids	feature_tp	feature_bigg	diff	notes	annotation
iBT721	met	34hplac_e			R__3__4_Hydroxyphenyl_lactate	X						not in bigg						{}
iBT721	met	34hpp_c		34hpp_c	3-(4-Hydroxyphenyl)pyruvate	C9H7O4						id in bigg						{}
iBT721	met	35ccmp_c		35ccmp_c	3__5__Cyclic_CMP	X						id in bigg						{}
iBT721	met	35cdamp_c		35cdamp_c	3__5__Cyclic_dAMP	X						id in bigg						{}
iBT721	met	35cgmp_c		35cgmp_c	3,5-cyclic GMP(1-)	C10H11N5O7P						id in bigg						{}
iBT721	met	35cimp_c		35cimp_c	3__5__Cyclic_IMP	X						id in bigg						{}
iBT721	met	3dhq_c		3dhq_c	3-Dehydroquinate	C7H9O6						id in bigg						{}
iBT721	met	3dhsk_c		3dhsk_c	3-Dehydroshikimate	C7H7O5						id in bigg						{}
iBT721	met	3hbacp_c		3hbacp_c	3R__3_Hydroxybutanoyl_acyl_carrier_protein	C4H6O2X						id in bigg						{}
iBT721	met	3hddacp_c		3hddacp_c	R__3_Hydroxydodecanoyl_acyl_carrier_protein	C12H22O2X						id in bigg						{}
iBT721	met	3hdeacp_c		3hdeacp_c	3R__3_Hydroxydecanoyl_acyl_carrier_protein	C10H18O2X						id in bigg						{}
iBT721	met	3hhacp_c		3hhacp_c	R__3_Hydroxyhexanoyl_acp	C6H10O2X						id in bigg						{}
iBT721	met	3hmp_c		3hmp_c	3-hydroxy-2-methylpropanoate	C4H7O3						id in bigg						{}
iBT721	met	3hocacp_c		3hocacp_c	R__3_Hydroxyoctanoyl_acyl_carrier_protein	C8H14O2X						id in bigg						{}
iBT721	met	3hocdacp_c		3hocdacp_c	3R__3_Hydroxyoctadecanoyl_acyl_carrier_protein	C18H34O2X						id in bigg						{}
iBT721	met	3hpaacp_c		3hpaacp_c	3R__3_Hydroxypalmitoyl_acyl_carrier_protein	C16H30O2X						id in bigg						{}
iBT721	met	3hppnl_c		3hppnl_c	3_Hydroxypropanal	X						id in bigg						{}
iBT721	met	3htdacp_c		3htdacp_c	3R__3_Hydroxytetradecanoyl_acyl_carrier_protein	C14H26O2X						id in bigg						{}
iBT721	met	3ig3p_c		3ig3p_c	C'-(3-Indolyl)-glycerol 3-phosphate	C11H12NO6P						id in bigg						{}
iBT721	met	3mbal_c		3mbal_c	3_methylbutanal	X						id in bigg						{}
iBT721	met	3mbal_e		3mbal_e	3_methylbutanal	X						id in bigg						{}
iBT721	met	3mbol_c			3_methylbutanol	X						not in bigg						{}
iBT721	met	3mbol_e			3_methylbutanol	X						not in bigg						{}
iBT721	met	3mob_c		3mob_c	3-Methyl-2-oxobutanoate	C5H7O3						id in bigg						{}
iBT721	met	3mop_c		3mop_c	(S)-3-Methyl-2-oxopentanoate	C6H9O3						id in bigg						{}
iBT721	met	3ophb_c		3ophb_c	3-Octaprenyl-4-hydroxybenzoate	C47H69O3						id in bigg						{}
iBT721	met	3oxddacp_c		3oxddacp_c	3_Oxododecanoyl_acyl_carrier_protein	C12H20O2X						id in bigg						{}
iBT721	met	3oxdeacp_c		3oxdeacp_c	3_Oxodecanoyl_acyl_carrier_protein	C10H16O2X						id in bigg						{}
iBT721	met	3oxhacp_c		3oxhacp_c	3_Oxohexanoyl_acyl_carrier_protein	C6H8O2X						id in bigg						{}
iBT721	met	3oxhdacp_c		3oxhdacp_c	3_Oxohexadecanoyl_acp	C16H28O2X						id in bigg						{}
iBT721	met	3oxocacp_c		3oxocacp_c	3_Oxooctanoyl_acyl_carrier_protein	C8H12O2X						id in bigg						{}
iBT721	met	3oxocdacp_c		3oxocdacp_c	3_Oxooctadecanoyl_acp	C18H32O2X						id in bigg						{}
iBT721	met	3oxtdacp_c		3oxtdacp_c	3_Oxotetradecanoyl_acyl_carrier_protein	C14H24O2X						id in bigg						{}
iBT721	met	3pg_c		3pg_c	3-Phospho-D-glycerate	C3H4O7P						id in bigg						{}
iBT721	met	3php_c		3php_c	3-Phosphohydroxypyruvate	C3H2O7P						id in bigg						{}
iBT721	met	3psme_c		3psme_c	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C10H9O10P						id in bigg						{}
iBT721	met	4abut_c		4abut_c	4-Aminobutanoate	C4H9NO2						id in bigg						{}
iBT721	met	4abut_e		4abut_e	4-Aminobutanoate	C4H9NO2						id in bigg						{}
iBT721	met	4abz_c		4abz_c	4-Aminobenzoate	C7H6NO2						id in bigg						{}
iBT721	met	4abz_e		4abz_e	4-Aminobenzoate	C7H6NO2						id in bigg						{}
iBT721	met	4adcho_c		4adcho_c	4-amino-4-deoxychorismate	C10H10NO5						id in bigg						{}
iBT721	met	4ahmmp_c		4ahmmp_c	4-Amino-5-hydroxymethyl-2-methylpyrimidine	C6H9N3O						id in bigg						{}
iBT721	met	4ampm_c		4ampm_c	4-Amino-2-methyl-5-phosphomethylpyrimidine	C6H8N3O4P						id in bigg						{}
iBT721	met	4c2me_c		4c2me_c	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H23N3O14P2						id in bigg						{}
iBT721	met	4coum_c			4_Coumarate	X						not in bigg						{}
iBT721	met	4h2oxg_c		4h2oxg_c	D_4_Hydroxy_2_oxoglutarate	C5H4O6						id in bigg						{}
iBT721	met	4hglu_c		4hglu_c	4_Hydroxy_L_glutamate	C5H8NO5						id in bigg						{}
iBT721	met	4hphac_c		4hphac_c	4-hydroxyphenylacetate	C8H7O3						id in bigg						{}
iBT721	met	4met2obut_c		4met2obut_c	4_Methylthio_2_oxobutanoate	X						id in bigg						{}
iBT721	met	4mhetz_c		4mhetz_c	4-Methyl-5-(2-hydroxyethyl)-thiazole	C6H9NOS						id in bigg						{}
iBT721	met	4mop_c		4mop_c	4-Methyl-2-oxopentanoate	C6H9O3						id in bigg						{}
iBT721	met	4mpetz_c		4mpetz_c	4-Methyl-5-(2-phosphoethyl)-thiazole	C6H8NO4PS						id in bigg						{}
iBT721	met	4pasp_c		4pasp_c	4-Phospho-L-aspartate	C4H6NO7P						id in bigg						{}
iBT721	met	4ppan_c		4ppan_c	D-4'-Phosphopantothenate	C9H15NO8P						id in bigg						{}
iBT721	met	4ppcys_c		4ppcys_c	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H20N2O9PS						id in bigg						{}
iBT721	met	4vcoum_c			4_vinyl_p_coumaric_acid	X						not in bigg						{}
iBT721	met	5aizc_c		5aizc_c	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C9H11N3O9P						id in bigg						{}
iBT721	met	5dpmev_c		5dpmev_c	(R)-5-Diphosphomevalonate	C6H10O10P2						id in bigg						{}
iBT721	met	5fothf_c		5fothf_c	5_Formyltetrahydrofolate	C20H21N7O7						id in bigg						{}
iBT721	met	5mta_c		5mta_c	5-Methylthioadenosine	C11H15N5O3S						id in bigg						{}
iBT721	met	5mthf_c		5mthf_c	5-Methyltetrahydrofolate	C20H24N7O6						id in bigg						{}
iBT721	met	5mthglu_c	mhpglu_c	mhpglu_c	5_Methyltetrahydropteroyltri_L_glutamate	C25H34N8O12						id in old_bigg_ids	5mthglu; 5mthglu[c]; 5mthglu_c; mhpglu; mhpglu_c				replaced_id(in_old_id)	{}
iBT721	met	5mtr_c		5mtr_c	5-Methylthio-D-ribose	C6H12O4S						id in bigg						{}
iBT721	met	5odhf2a_c		5odhf2a_c	5-Oxo-4,5-dihydrofuran-2-acetate	C6H5O4						id in bigg						{}
iBT721	met	5pmev_c		5pmev_c	(R)-5-phosphonatomevalonate(3-)	C6H10O7P						id in bigg						{}
iBT721	met	6pgc_c		6pgc_c	6-Phospho-D-gluconate	C6H10O10P						id in bigg						{}
iBT721	met	6pgg_c		6pgg_c	6-Phospho-beta-D-glucosyl-(1,4)-D-glucose	C12H21O14P						id in bigg						{}
iBT721	met	6pgl_c		6pgl_c	6-phospho-D-glucono-1,5-lactone	C6H9O9P						id in bigg						{}
iBT721	met	CPS_LPL2_c			capsular_polysaccharide_linkage_unit__LPL_specific	X						not in bigg						{}
iBT721	met	CPS_LPL_c			capsular_polysaccharide_linkage_unit__LPL_specific	X						not in bigg						{}
iBT721	met	DNA_LPL_c			DNA__LPL_specific	X						not in bigg						{}
iBT721	met	LTA_LPL_c			lipoteichoic_acid__n25__LPL_specific_	X						not in bigg						{}
iBT721	met	LTAala_LPL_c			Lipoteichoic_acid__n25__with_100_D_Ala_substitutions__LPL_specific_	X						not in bigg						{}
iBT721	met	LTAglc_LPL_c			Lipoteichoic_acid__n25_with_glucose_residues__LPL_specific_	X						not in bigg						{}
iBT721	met	MCOOH_c			MPT_synthase_small_subunit_MoaD	MCO2						not in bigg						{}
iBT721	met	MCOSH_c			MPT_synthase_sulfurylated_small_subunit__MoaD_SH_	MCHOS						not in bigg						{}
iBT721	met	MGD_c			moldybdopterin_guanine_dinucleotide	X						not in bigg						{}
iBT721	met	MPT_c			molybdopterin	X						not in bigg						{}
iBT721	met	Moco_c			Molybdenum_cofactor	X						not in bigg						{}
iBT721	met	PGlac2_c			peptidoglycan_with_D_lac_as_C_terminal_residue_to_form_pentadepsipeptide	X						not in bigg						{}
iBT721	met	PROT_LPL_v60_c			L_plantarum_specific_protein_composition_for_biomass_version_60	X						not in bigg						{}
iBT721	met	PreZ_c			Precursor_Z_in_molybdenum_cofactor_biosynthesis	C10H11N5O7P						not in bigg						{}
iBT721	met	RNA_LPL_c			RNA__LPL_specific	X						not in bigg						{}
iBT721	met	RTA_c			teichoic_acid_containing_ribitol_P	C144H283N2O193P27						not in bigg						{}
iBT721	met	RTAala_c			ribitol_teichoic_acid__n25__with_D_Ala_substitutions	X						not in bigg						{}
iBT721	met	RTAglc_c			ribitol_teichoic_acid__n25__with_glucose_substitutions	C294H533N2O318P27						not in bigg						{}
iBT721	met	a_gal__D_c		a_gal__D_c	alpha_D_galactose	X						id in bigg						{}
iBT721	met	aaacp_c		aaacp_c	Acetoacetyl_acyl_carrier_protein	C4H4O2X						id in bigg						{}
iBT721	met	aacoa_c		aacoa_c	Acetoacetyl-CoA	C25H36N7O18P3S						id in bigg						{}
iBT721	met	ac_c		ac_c	Acetate	C2H3O2						id in bigg						{}
iBT721	met	ac_e		ac_e	Acetate	C2H3O2						id in bigg						{}
iBT721	met	acald_c		acald_c	Acetaldehyde	C2H4O						id in bigg						{}
iBT721	met	acald_e		acald_e	Acetaldehyde	C2H4O						id in bigg						{}
iBT721	met	acamoxm_c		acamoxm_c	N_Acetyl_L_2_amino_6_oxopimelate	C9H11NO6						id in bigg						{}
iBT721	met	accoa_c		accoa_c	Acetyl-CoA	C23H34N7O17P3S						id in bigg						{}
iBT721	met	acetone_c		acetone_c	acetone	C3H6O						id in bigg						{}
iBT721	met	acg5p_c		acg5p_c	N-Acetyl-L-glutamyl 5-phosphate	C7H9NO8P						id in bigg						{}
iBT721	met	acg5sa_c		acg5sa_c	N-Acetyl-L-glutamate 5-semialdehyde	C7H10NO4						id in bigg						{}
iBT721	met	acgal6p_c		acgal6p_c	N-Acetyl-D-galactosamine 6-phosphate	C8H14NO9P						id in bigg						{}
iBT721	met	acgal_e		acgal_e	N_Acetyl_D_galactosamine	C8H15NO6						id in bigg						{}
iBT721	met	acgam1p_c		acgam1p_c	N-Acetyl-D-glucosamine 1-phosphate	C8H14NO9P						id in bigg						{}
iBT721	met	acgam6p_c		acgam6p_c	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P						id in bigg						{}
iBT721	met	acgam_e		acgam_e	N-Acetyl-D-glucosamine	C8H15NO6						id in bigg						{}
iBT721	met	acglu_c		acglu_c	N-Acetyl-L-glutamate	C7H9NO5						id in bigg						{}
iBT721	met	achms_c		achms_c	O-Acetyl-L-homoserine	C6H11NO4						id in bigg						{}
iBT721	met	acmalt_c		acmalt_c	Acetyl-maltose	C14H24O12						id in bigg						{}
iBT721	met	acmam_c		acmam_c	N-Acetyl-D-muramoate	C11H18NO8						id in bigg						{}
iBT721	met	acmama_c		acmama_c	N-Acetyl-D-muramoyl-L-alanine	C14H23N2O9						id in bigg						{}
iBT721	met	acmana_c		acmana_c	N-Acetyl-D-mannosamine	C8H15NO6						id in bigg						{}
iBT721	met	acmanap_c		acmanap_c	N-Acetyl-D-mannosamine 6-phosphate	C8H14NO9P						id in bigg						{}
iBT721	met	acnam_c		acnam_c	N-Acetylneuraminate	C11H18NO9						id in bigg						{}
iBT721	met	acorn_c		acorn_c	N2-Acetyl-L-ornithine	C7H14N2O3						id in bigg						{}
iBT721	met	acp_c		acp_c	Acyl_carrier_Protein	C11H21N2O7PRS						id in bigg						{}
iBT721	met	acser_c		acser_c	O-Acetyl-L-serine	C5H9NO4						id in bigg						{}
iBT721	met	actn__R_c		actn__R_c	(R)-Acetoin	C4H8O2						id in bigg						{}
iBT721	met	actn__R_e		actn__R_e	(R)-Acetoin	C4H8O2						id in bigg						{}
iBT721	met	actp_c		actp_c	Acetyl phosphate	C2H3O5P						id in bigg						{}
iBT721	met	ade_c		ade_c	Adenine	C5H5N5						id in bigg						{}
iBT721	met	ade_e		ade_e	Adenine	C5H5N5						id in bigg						{}
iBT721	met	adn_c		adn_c	Adenosine	C10H13N5O4						id in bigg						{}
iBT721	met	adp_c		adp_c	ADP	C10H12N5O10P2						id in bigg						{}
iBT721	met	adpglc_c		adpglc_c	ADPglucose	C16H23N5O15P2						id in bigg						{}
iBT721	met	adprib_c		adprib_c	ADPribose	C15H21N5O14P2						id in bigg						{}
iBT721	met	agly3p_LPL_c			1_Acyl_sn_glycerol_3_phosphate__Lb_plantarum_specific_	X						not in bigg						{}
iBT721	met	ahcys_c		ahcys_c	S-Adenosyl-L-homocysteine	C14H20N6O5S						id in bigg						{}
iBT721	met	ahdt_c		ahdt_c	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	C9H12N5O13P3						id in bigg						{}
iBT721	met	aicar_c		aicar_c	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	C9H13N4O8P						id in bigg						{}
iBT721	met	air_c		air_c	5-amino-1-(5-phospho-D-ribosyl)imidazole	C8H12N3O7P						id in bigg						{}
iBT721	met	akg_c		akg_c	2-Oxoglutarate	C5H4O5						id in bigg						{}
iBT721	met	al26da_c		al26da_c	N6_Acetyl_LL_2_6_diaminoheptanedioate	C9H14N2O5						id in bigg						{}
iBT721	met	ala__B_c	ala_B_c	ala_B_c	beta-Alanine	C3H7NO2						id in old_bigg_ids	ala-B[c]; ala_B; ala_B[c]; ala_B_c; ala_DASH_B_c; ala__B_c				replaced_id(in_old_id)	{}
iBT721	met	ala__D_c		ala__D_c	D-Alanine	C3H7NO2						id in bigg						{}
iBT721	met	ala__L_c		ala__L_c	L-Alanine	C3H7NO2						id in bigg						{}
iBT721	met	ala__L_e		ala__L_e	L-Alanine	C3H7NO2						id in bigg						{}
iBT721	met	alac__S_c		alac__S_c	(S)-2-Acetolactate	C5H7O4						id in bigg						{}
iBT721	met	alalac_c			D_Alanyl_D_lactate	X						not in bigg						{}
iBT721	met	alatrna_c		alatrna_c	L-Alanyl-tRNA(Ala)	C3H6NOR						id in bigg						{}
iBT721	met	amet_c		amet_c	S-Adenosyl-L-methionine	C15H23N6O5S						id in bigg						{}
iBT721	met	amp_c		amp_c	AMP	C10H12N5O7P						id in bigg						{}
iBT721	met	anth_c		anth_c	Anthranilate	C7H6NO2						id in bigg						{}
iBT721	met	apoACP_c		apoACP_c	apoprotein [acyl carrier protein]	RHO						id in bigg						{}
iBT721	met	aps_c		aps_c	Adenosine 5'-phosphosulfate	C10H12N5O10PS						id in bigg						{}
iBT721	met	arab__L_c		arab__L_c	L-Arabinose	C5H10O5						id in bigg						{}
iBT721	met	arab__L_e		arab__L_e	L-Arabinose	C5H10O5						id in bigg						{}
iBT721	met	arg__L_c		arg__L_c	L-Arginine	C6H15N4O2						id in bigg						{}
iBT721	met	arg__L_e		arg__L_e	L-Arginine	C6H15N4O2						id in bigg						{}
iBT721	met	argsuc_c		argsuc_c	N(omega)-(L-Arginino)succinate	C10H17N4O6						id in bigg						{}
iBT721	met	argtrna_c		argtrna_c	L-Arginyl-tRNA(Arg)	C6H14N4OR						id in bigg						{}
iBT721	met	asn__L_c		asn__L_c	L-Asparagine	C4H8N2O3						id in bigg						{}
iBT721	met	asn__L_e		asn__L_e	L-Asparagine	C4H8N2O3						id in bigg						{}
iBT721	met	asntrna_c		asntrna_c	L-Asparaginyl-tRNA(Asn)	C14H24N2O12PR2						id in bigg						{}
iBT721	met	asp__D_c		asp__D_c	D-aspartate(1-)	C4H6NO4						id in bigg						{}
iBT721	met	asp__L_c		asp__L_c	L-Aspartate	C4H6NO4						id in bigg						{}
iBT721	met	asp__L_e		asp__L_e	L-Aspartate	C4H6NO4						id in bigg						{}
iBT721	met	aspsa_c		aspsa_c	L-Aspartate 4-semialdehyde	C4H7NO3						id in bigg						{}
iBT721	met	asptrna_c		asptrna_c	L-Aspartyl-tRNA(Asp)	C4H5NO3R						id in bigg						{}
iBT721	met	atp_c		atp_c	ATP(4-)	C10H12N5O13P3						id in bigg						{}
iBT721	met	btd__RR_c			R_R__2_3_Butanediol	X						not in bigg						{}
iBT721	met	btd__RR_e	btd_RR_e	btd_RR_e	R_R__2_3_Butanediol	X						id in old_bigg_ids	btd-RR[e]; btd_DASH_RR_e; btd_RR; btd_RR_e; btd__RR_e				replaced_id(in_old_id)	{}
iBT721	met	btn_c		btn_c	Biotin	C10H15N2O3S						id in bigg						{}
iBT721	met	btn_e		btn_e	Biotin	C10H15N2O3S						id in bigg						{}
iBT721	met	butacp_c		butacp_c	Butyryl_acyl_carrier_protein	C4H6OX						id in bigg						{}
iBT721	met	bzal_c		bzal_c	Benzaldehyde	X						id in bigg						{}
iBT721	met	bzal_e		bzal_e	Benzaldehyde	X						id in bigg						{}
iBT721	met	camp_c		camp_c	cAMP	C10H11N5O6P						id in bigg						{}
iBT721	met	cbasp_c		cbasp_c	N-Carbamoyl-L-aspartate	C5H6N2O5						id in bigg						{}
iBT721	met	cbp_c		cbp_c	Carbamoyl phosphate	CH2NO5P						id in bigg						{}
iBT721	met	cdp_c		cdp_c	CDP	C9H12N3O11P2						id in bigg						{}
iBT721	met	cdpdag_LPL_c			CDPdiacylglycerol__LPL_specific_	X						not in bigg						{}
iBT721	met	cdpglyc_c		cdpglyc_c	CDPglycerol	C12H19N3O13P2						id in bigg						{}
iBT721	met	cdprbtl_c		cdprbtl_c	CDPribitol	X						id in bigg						{}
iBT721	met	cellb_e		cellb_e	cellobiose	C12H22O11						id in bigg						{}
iBT721	met	chol_c		chol_c	Choline	C5H14NO						id in bigg						{}
iBT721	met	chol_e		chol_e	Choline	C5H14NO						id in bigg						{}
iBT721	met	chor_c		chor_c	chorismate	C10H8O6						id in bigg						{}
iBT721	met	cit_c		cit_c	Citrate	C6H5O7						id in bigg						{}
iBT721	met	cit_e		cit_e	Citrate	C6H5O7						id in bigg						{}
iBT721	met	citr__L_c		citr__L_c	L-Citrulline	C6H13N3O3						id in bigg						{}
iBT721	met	clpn_LPL_c			Cardiolipin__LPL_specific_	X						not in bigg						{}
iBT721	met	cmp_c		cmp_c	CMP	C9H12N3O8P						id in bigg						{}
iBT721	met	co2_c		co2_c	CO2	CO2						id in bigg						{}
iBT721	met	co2_e		co2_e	CO2	CO2						id in bigg						{}
iBT721	met	coa_c		coa_c	Coenzyme A	C21H32N7O16P3S						id in bigg						{}
iBT721	met	cpocdacp_c		cpocdacp_c	cyclopropanoyl_octadecanoyl_acyl_carrier_protein	C19H34OX						id in bigg						{}
iBT721	met	csn_c		csn_c	Cytosine	C4H5N3O						id in bigg						{}
iBT721	met	csn_e		csn_e	Cytosine	C4H5N3O						id in bigg						{}
iBT721	met	ctp_c		ctp_c	CTP	C9H12N3O14P3						id in bigg						{}
iBT721	met	cys__L_c		cys__L_c	L-Cysteine	C3H7NO2S						id in bigg						{}
iBT721	met	cys__L_e		cys__L_e	L-Cysteine	C3H7NO2S						id in bigg						{}
iBT721	met	cysth__L_c		cyst__L_c	L_Cystathionine	X						without compartment(id in old_bigg_ids)	cyst-L[c]; cyst_DASH_L_c; cyst_L[c]; cyst_L_c; cyst__L; cyst__L_c; cysth_L_c; cysth__L				manual check	{}
iBT721	met	cystrna_c		cystrna_c	L-Cysteinyl-tRNA(Cys)	C3H6NOSR						id in bigg						{}
iBT721	met	cytd_c		cytd_c	Cytidine	C9H13N3O5						id in bigg						{}
iBT721	met	dad__2_c	dad_2_c	dad_2_c	Deoxyadenosine	C10H13N5O3						id in old_bigg_ids	dad-2[c]; dad_2; dad_2[c]; dad_2_c; dad_DASH_2_c; dad__2_c				replaced_id(in_old_id)	{}
iBT721	met	dadp_c		dadp_c	dADP	C10H12N5O9P2						id in bigg						{}
iBT721	met	dag_LPL_c			1_2_Diacylglycerol__LPL_specific	X						not in bigg						{}
iBT721	met	damp_c		damp_c	dAMP	C10H12N5O6P						id in bigg						{}
iBT721	met	datp_c		datp_c	dATP	C10H12N5O12P3						id in bigg						{}
