# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000439275.1	PRJNA224116	SAMN02604178		na	1358027	1598	Lactobacillus reuteri TD1	strain=TD1		latest	Complete Genome	Major	Full	2013/07/23	ASM43927v1	University of Florida	GCA_000439275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/275/GCF_000439275.1_ASM43927v1		
GCF_000712555.1	PRJNA224116	SAMN02800394	JOSX00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LTH2584		latest	Scaffold	Major	Full	2014/06/26	LTH2584	University of Alberta	GCA_000712555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/555/GCF_000712555.1_LTH2584		
GCF_000712565.2	PRJNA224116	SAMN02869563	JOSW00000000.2	na	1598	1598	Lactobacillus reuteri	strain=TMW1.656		latest	Contig	Major	Full	2015/08/18	ASM71256v2	University of Alberta	GCA_000712565.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/565/GCF_000712565.2_ASM71256v2		
GCF_000722535.2	PRJNA224116	SAMN02840984	JOKX00000000.2	na	1598	1598	Lactobacillus reuteri	strain=TMW1.112		latest	Contig	Major	Full	2015/08/18	ASM72253v2	University of Alberta	GCA_000722535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/535/GCF_000722535.2_ASM72253v2		
GCF_000758185.1	PRJNA224116	SAMN02869572	JOOG00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LTH5448		latest	Contig	Major	Full	2014/09/25	LTH5448	University of Alberta	GCA_000758185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/758/185/GCF_000758185.1_LTH5448		
GCF_001046835.1	PRJNA224116	SAMN03382532		na	1598	1598	Lactobacillus reuteri	strain=IRT		latest	Complete Genome	Major	Full	2015/07/06	ASM104683v1	Institute for Basic Science (IBS) and Pohang University of Science and Technology (POSTECH)	GCA_001046835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/046/835/GCF_001046835.1_ASM104683v1		
GCF_001434615.1	PRJNA224116	SAMN02369412	AZDD00000000.1	na	557436	1598	Lactobacillus reuteri DSM 20016	strain=DSM 20016		latest	Scaffold	Major	Full	2015/11/06	ASM143461v1	Shanghai Majorbio	GCA_001434615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/434/615/GCF_001434615.1_ASM143461v1		assembly from type material
GCF_001618905.1	PRJNA224116	SAMN03879966		na	1598	1598	Lactobacillus reuteri	strain=ZLR003		latest	Complete Genome	Major	Full	2016/04/12	ASM161890v1	Institute of Animal Husbandry and Veterinary Medicine	GCA_001618905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/905/GCF_001618905.1_ASM161890v1		
GCF_001657495.1	PRJNA224116	SAMN05182497	LYWI00000000.1	na	1598	1598	Lactobacillus reuteri	strain=CRL 1098		latest	Contig	Major	Full	2016/06/03	ASM165749v1	CERELA-CONICET	GCA_001657495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/657/495/GCF_001657495.1_ASM165749v1		
GCF_001688685.2	PRJNA224116	SAMN04621617		na	1598	1598	Lactobacillus reuteri	strain=I49		latest	Complete Genome	Major	Full	2017/04/05	ASM168868v2	University of Bern	GCA_001688685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/685/GCF_001688685.2_ASM168868v2		
GCF_001703855.1	PRJNA224116	SAMN05371093	MBLQ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=480_44		latest	Scaffold	Major	Full	2016/08/11	ASM170385v1	Sheba Medical Center	GCA_001703855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/855/GCF_001703855.1_ASM170385v1		
GCF_001703865.1	PRJNA224116	SAMN05371094	MBLR00000000.1	na	1598	1598	Lactobacillus reuteri	strain=482_46		latest	Scaffold	Major	Full	2016/08/11	ASM170386v1	Sheba Medical Center	GCA_001703865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/865/GCF_001703865.1_ASM170386v1		
GCF_001703875.1	PRJNA224116	SAMN05371179	MBLT00000000.1	na	1598	1598	Lactobacillus reuteri	strain=484_32		latest	Scaffold	Major	Full	2016/08/11	ASM170387v1	Sheba Medical Center	GCA_001703875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/875/GCF_001703875.1_ASM170387v1		
GCF_001703885.1	PRJNA224116	SAMN05371178	MBLS00000000.1	na	1598	1598	Lactobacillus reuteri	strain=482_54		latest	Scaffold	Major	Full	2016/08/11	ASM170388v1	Sheba Medical Center	GCA_001703885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/885/GCF_001703885.1_ASM170388v1		
GCF_001703935.1	PRJNA224116	SAMN05371506	MBLU00000000.1	na	1598	1598	Lactobacillus reuteri	strain=484_39		latest	Scaffold	Major	Full	2016/08/11	ASM170393v1	Sheba Medical Center	GCA_001703935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/935/GCF_001703935.1_ASM170393v1		
GCF_001705505.1	PRJNA224116	SAMN05514174	MCNS00000000.1	na	1598	1598	Lactobacillus reuteri	strain=P43		latest	Contig	Major	Full	2016/08/16	ASM170550v1	RTI International	GCA_001705505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/705/505/GCF_001705505.1_ASM170550v1		
GCF_001756765.1	PRJNA224116	SAMN05257121	MAGB00000000.1	na	1598	1598	Lactobacillus reuteri	strain=HI24		latest	Contig	Major	Full	2016/10/11	ASM175676v1	Agharkar Research Institute	GCA_001756765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/756/765/GCF_001756765.1_ASM175676v1		
GCF_001889975.1	PRJNA224116	SAMN05788099	MKQH00000000.1	na	1598	1598	Lactobacillus reuteri	strain=121		latest	Contig	Major	Full	2016/12/06	ASM188997v1	University of Groningen	GCA_001889975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/975/GCF_001889975.1_ASM188997v1		
GCF_002007085.1	PRJNA224116	SAMN06315550	MUZP00000000.1	na	1598	1598	Lactobacillus reuteri	strain=MD IIE-43		latest	Contig	Major	Full	2017/02/27	ASM200708v1	Kingston University	GCA_002007085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/085/GCF_002007085.1_ASM200708v1		
GCF_002027295.1	PRJNA224116	SAMN06473517	MWVS00000000.1	na	1598	1598	Lactobacillus reuteri	strain=CECT8605		latest	Contig	Major	Full	2017/03/14	ASM202729v1	Biosearch, S.A.	GCA_002027295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/027/295/GCF_002027295.1_ASM202729v1		
GCF_002112185.1	PRJNA224116	SAMN06640221	NBBG00000000.1	na	1598	1598	Lactobacillus reuteri	strain=1366		latest	Scaffold	Major	Full	2017/04/27	ASM211218v1	University of Alberta	GCA_002112185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/185/GCF_002112185.1_ASM211218v1		
GCF_002112195.1	PRJNA224116	SAMN06640219	NBBH00000000.1	na	1598	1598	Lactobacillus reuteri	strain=M27U15		latest	Scaffold	Major	Full	2017/04/27	ASM211219v1	University of Alberta	GCA_002112195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/195/GCF_002112195.1_ASM211219v1		
GCF_002112225.1	PRJNA224116	SAMN06640220	NBBD00000000.1	na	1598	1598	Lactobacillus reuteri	strain=JCM 1081		latest	Scaffold	Major	Full	2017/04/27	ASM211222v1	University of Alberta	GCA_002112225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/225/GCF_002112225.1_ASM211222v1		
GCF_002112245.1	PRJNA224116	SAMN06640222	NBBE00000000.1	na	1598	1598	Lactobacillus reuteri	strain=CSF8		latest	Scaffold	Major	Full	2017/04/27	ASM211224v1	University of Alberta	GCA_002112245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/245/GCF_002112245.1_ASM211224v1		
GCF_002112805.1	PRJNA224116	SAMN06640223	NBBF00000000.1	na	1598	1598	Lactobacillus reuteri	strain=MM34-4A		latest	Scaffold	Major	Full	2017/04/27	ASM211280v1	University of Alberta	GCA_002112805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/112/805/GCF_002112805.1_ASM211280v1		
GCF_002128485.1	PRJNA224116	SAMN05751479	MIME00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR1001		latest	Contig	Major	Full	2017/05/11	ASM212848v1	Seoul National University	GCA_002128485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/485/GCF_002128485.1_ASM212848v1		
GCF_002128495.1	PRJNA224116	SAMN05751483	MIMI00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR2001		latest	Contig	Major	Full	2017/05/11	ASM212849v1	Seoul National University	GCA_002128495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/495/GCF_002128495.1_ASM212849v1		
GCF_002128515.1	PRJNA224116	SAMN05751480	MIMF00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR1002		latest	Contig	Major	Full	2017/05/11	ASM212851v1	Seoul National University	GCA_002128515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/515/GCF_002128515.1_ASM212851v1		
GCF_002128525.1	PRJNA224116	SAMN05751482	MIMH00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR1004		latest	Contig	Major	Full	2017/05/11	ASM212852v1	Seoul National University	GCA_002128525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/525/GCF_002128525.1_ASM212852v1		
GCF_002128555.1	PRJNA224116	SAMN05751484	MIMJ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR2002		latest	Contig	Major	Full	2017/05/11	ASM212855v1	Seoul National University	GCA_002128555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/555/GCF_002128555.1_ASM212855v1		
GCF_002128585.1	PRJNA224116	SAMN05751485	MIMK00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR2003		latest	Contig	Major	Full	2017/05/11	ASM212858v1	Seoul National University	GCA_002128585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/585/GCF_002128585.1_ASM212858v1		
GCF_002128605.1	PRJNA224116	SAMN05751489	MIMO00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR2007		latest	Contig	Major	Full	2017/05/11	ASM212860v1	Seoul National University	GCA_002128605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/605/GCF_002128605.1_ASM212860v1		
GCF_002128615.1	PRJNA224116	SAMN05751492	MIMR00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR3002		latest	Contig	Major	Full	2017/05/11	ASM212861v1	Seoul National University	GCA_002128615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/615/GCF_002128615.1_ASM212861v1		
GCF_002128635.1	PRJNA224116	SAMN05751493	MIMS00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR3003		latest	Contig	Major	Full	2017/05/11	ASM212863v1	Seoul National University	GCA_002128635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/635/GCF_002128635.1_ASM212863v1		
GCF_002128655.1	PRJNA224116	SAMN05751494	MIMT00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR3004		latest	Contig	Major	Full	2017/05/11	ASM212865v1	Seoul National University	GCA_002128655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/655/GCF_002128655.1_ASM212865v1		
GCF_002128685.1	PRJNA224116	SAMN05751495	MIMU00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR3005		latest	Contig	Major	Full	2017/05/11	ASM212868v1	Seoul National University	GCA_002128685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/685/GCF_002128685.1_ASM212868v1		
GCF_002128705.1	PRJNA224116	SAMN05751497	MIMW00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR4001		latest	Contig	Major	Full	2017/05/11	ASM212870v1	Seoul National University	GCA_002128705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/705/GCF_002128705.1_ASM212870v1		
GCF_002128715.1	PRJNA224116	SAMN05751486	MIML00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR2004		latest	Contig	Major	Full	2017/05/11	ASM212871v1	Seoul National University	GCA_002128715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/715/GCF_002128715.1_ASM212871v1		
GCF_002128745.1	PRJNA224116	SAMN05751490	MIMP00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR2008		latest	Contig	Major	Full	2017/05/11	ASM212874v1	Seoul National University	GCA_002128745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/745/GCF_002128745.1_ASM212874v1		
GCF_002128755.1	PRJNA224116	SAMN05751488	MIMN00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR2006		latest	Contig	Major	Full	2017/05/11	ASM212875v1	Seoul National University	GCA_002128755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/755/GCF_002128755.1_ASM212875v1		
GCF_002128765.1	PRJNA224116	SAMN05751496	MIMV00000000.1	na	1598	1598	Lactobacillus reuteri	strain=KLR3006		latest	Contig	Major	Full	2017/05/11	ASM212876v1	Seoul National University	GCA_002128765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/765/GCF_002128765.1_ASM212876v1		
GCF_002156605.1	PRJNA224116	SAMN06364940	MWIJ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=LR0		latest	Scaffold	Major	Full	2017/05/22	ASM215660v1	Cornell University	GCA_002156605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/156/605/GCF_002156605.1_ASM215660v1		
GCF_002159305.1	PRJNA224116	SAMN06473750	NFHN00000000.1	na	1598	1598	Lactobacillus reuteri	strain=An71		latest	Contig	Major	Full	2017/05/30	ASM215930v1	Veterinary Research Institute	GCA_002159305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/159/305/GCF_002159305.1_ASM215930v1		
GCF_002160565.1	PRJNA224116	SAMN06473632	NFKV00000000.1	na	1598	1598	Lactobacillus reuteri	strain=An166		latest	Contig	Major	Full	2017/05/30	ASM216056v1	Veterinary Research Institute	GCA_002160565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/160/565/GCF_002160565.1_ASM216056v1		
GCF_002221655.1	PRJNA224116	SAMN03854115	NHMT00000000.1	na	1598	1598	Lactobacillus reuteri	strain=I49		latest	Contig	Major	Full	2017/07/19	ASM222165v1	Max von Pettenkofer-Institut	GCA_002221655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/221/655/GCF_002221655.1_ASM222165v1		
GCF_002253625.1	PRJNA224116	SAMN06848403	NGPB00000000.1	na	1598	1598	Lactobacillus reuteri	strain=609i		latest	Scaffold	Major	Full	2017/08/15	ASM225362v1	University of Alberta	GCA_002253625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/625/GCF_002253625.1_ASM225362v1		
GCF_002253665.1	PRJNA224116	SAMN06848404	NGPA00000000.1	na	1598	1598	Lactobacillus reuteri	strain=609l		latest	Scaffold	Major	Full	2017/08/15	ASM225366v1	University of Alberta	GCA_002253665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/665/GCF_002253665.1_ASM225366v1		
GCF_002253685.1	PRJNA224116	SAMN06848402	NGPC00000000.1	na	1598	1598	Lactobacillus reuteri	strain=609e		latest	Scaffold	Major	Full	2017/08/15	ASM225368v1	University of Alberta	GCA_002253685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/685/GCF_002253685.1_ASM225368v1		
GCF_002253705.1	PRJNA224116	SAMN06848401	NGPD00000000.1	na	1598	1598	Lactobacillus reuteri	strain=609d		latest	Scaffold	Major	Full	2017/08/15	ASM225370v1	University of Alberta	GCA_002253705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/705/GCF_002253705.1_ASM225370v1		
GCF_002253725.1	PRJNA224116	SAMN06848399	NGPF00000000.1	na	1598	1598	Lactobacillus reuteri	strain=601g		latest	Scaffold	Major	Full	2017/08/15	ASM225372v1	University of Alberta	GCA_002253725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/725/GCF_002253725.1_ASM225372v1		
GCF_002253745.1	PRJNA224116	SAMN06848400	NGPE00000000.1	na	1598	1598	Lactobacillus reuteri	strain=601l		latest	Scaffold	Major	Full	2017/08/15	ASM225374v1	University of Alberta	GCA_002253745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/745/GCF_002253745.1_ASM225374v1		
GCF_002253755.1	PRJNA224116	SAMN06848398	NGPG00000000.1	na	1598	1598	Lactobacillus reuteri	strain=601f		latest	Scaffold	Major	Full	2017/08/15	ASM225375v1	University of Alberta	GCA_002253755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/755/GCF_002253755.1_ASM225375v1		
GCF_002253765.1	PRJNA224116	SAMN06848397	NGPH00000000.1	na	1598	1598	Lactobacillus reuteri	strain=117w		latest	Scaffold	Major	Full	2017/08/15	ASM225376v1	University of Alberta	GCA_002253765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/765/GCF_002253765.1_ASM225376v1		
GCF_002253785.1	PRJNA224116	SAMN06848396	NGPI00000000.1	na	1598	1598	Lactobacillus reuteri	strain=117r		latest	Scaffold	Major	Full	2017/08/15	ASM225378v1	University of Alberta	GCA_002253785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/785/GCF_002253785.1_ASM225378v1		
GCF_002253825.1	PRJNA224116	SAMN06848393	NGPL00000000.1	na	1598	1598	Lactobacillus reuteri	strain=114h		latest	Scaffold	Major	Full	2017/08/15	ASM225382v1	University of Alberta	GCA_002253825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/825/GCF_002253825.1_ASM225382v1		
GCF_002253835.1	PRJNA224116	SAMN06848392	NGPM00000000.1	na	1598	1598	Lactobacillus reuteri	strain=114g		latest	Scaffold	Major	Full	2017/08/15	ASM225383v1	University of Alberta	GCA_002253835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/835/GCF_002253835.1_ASM225383v1		
GCF_002253865.1	PRJNA224116	SAMN06848394	NGPK00000000.1	na	1598	1598	Lactobacillus reuteri	strain=114q		latest	Scaffold	Major	Full	2017/08/15	ASM225386v1	University of Alberta	GCA_002253865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/865/GCF_002253865.1_ASM225386v1		
GCF_002253875.1	PRJNA224116	SAMN06848395	NGPJ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=117n		latest	Scaffold	Major	Full	2017/08/15	ASM225387v1	University of Alberta	GCA_002253875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/875/GCF_002253875.1_ASM225387v1		
GCF_002253905.1	PRJNA224116	SAMN06848391	NGPN00000000.1	na	1598	1598	Lactobacillus reuteri	strain=111v		latest	Scaffold	Major	Full	2017/08/15	ASM225390v1	University of Alberta	GCA_002253905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/905/GCF_002253905.1_ASM225390v1		
GCF_002253925.1	PRJNA224116	SAMN06848387	NGPR00000000.1	na	1598	1598	Lactobacillus reuteri	strain=107k		latest	Scaffold	Major	Full	2017/08/15	ASM225392v1	University of Alberta	GCA_002253925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/925/GCF_002253925.1_ASM225392v1		
GCF_002253945.1	PRJNA224116	SAMN06848390	NGPO00000000.1	na	1598	1598	Lactobacillus reuteri	strain=111l		latest	Scaffold	Major	Full	2017/08/15	ASM225394v1	University of Alberta	GCA_002253945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/945/GCF_002253945.1_ASM225394v1		
GCF_002253955.1	PRJNA224116	SAMN06848386	NGPS00000000.1	na	1598	1598	Lactobacillus reuteri	strain=107j		latest	Scaffold	Major	Full	2017/08/15	ASM225395v1	University of Alberta	GCA_002253955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/955/GCF_002253955.1_ASM225395v1		
GCF_002253965.1	PRJNA224116	SAMN06848388	NGPQ00000000.1	na	1598	1598	Lactobacillus reuteri	strain=111b		latest	Scaffold	Major	Full	2017/08/15	ASM225396v1	University of Alberta	GCA_002253965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/965/GCF_002253965.1_ASM225396v1		
GCF_002253975.1	PRJNA224116	SAMN06848389	NGPP00000000.1	na	1598	1598	Lactobacillus reuteri	strain=111f		latest	Scaffold	Major	Full	2017/08/15	ASM225397v1	University of Alberta	GCA_002253975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/253/975/GCF_002253975.1_ASM225397v1		
GCF_002254025.1	PRJNA224116	SAMN06848383	NGPV00000000.1	na	1598	1598	Lactobacillus reuteri	strain=105p		latest	Scaffold	Major	Full	2017/08/15	ASM225402v1	University of Alberta	GCA_002254025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/025/GCF_002254025.1_ASM225402v1		
GCF_002254035.1	PRJNA224116	SAMN06848385	NGPT00000000.1	na	1598	1598	Lactobacillus reuteri	strain=107e		latest	Scaffold	Major	Full	2017/08/15	ASM225403v1	University of Alberta	GCA_002254035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/035/GCF_002254035.1_ASM225403v1		
GCF_002254045.1	PRJNA224116	SAMN06848382	NGPW00000000.1	na	1598	1598	Lactobacillus reuteri	strain=105o		latest	Scaffold	Major	Full	2017/08/15	ASM225404v1	University of Alberta	GCA_002254045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/045/GCF_002254045.1_ASM225404v1		
GCF_002254085.1	PRJNA224116	SAMN06848380	NGPY00000000.1	na	1598	1598	Lactobacillus reuteri	strain=105k		latest	Scaffold	Major	Full	2017/08/15	ASM225408v1	University of Alberta	GCA_002254085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/254/085/GCF_002254085.1_ASM225408v1		
