,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature_tp,feature_bigg,other
48,rea,BIOMASS_LLA_noATPnoH,BIOMASS_LLA_noATPnoH,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
49,rea,BTDD_RR,BTDD_RR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
50,rea,BTDt_RR,BTDt_RR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
51,rea,BZALt,BZALt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
52,rea,CARORSr,CARORSr,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
53,rea,CH4St,CH4St,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
54,rea,CITt2r,CITt2r,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
55,rea,CITt3,CITt3,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
56,rea,CLPNS_LLA,CLPNS_LLA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
57,rea,CO2t,CO2t,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
58,rea,CPSS_LLA,CPSS_LLA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
59,rea,CYTB_B2,CYTB_B2,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
60,rea,CYTK1,CYTK1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
61,rea,CYTK2,CYTK2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
62,rea,DADK,DADK,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
63,rea,DALAt2r,DALAt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
64,rea,DAPE,DAPE,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
65,rea,DASYN_LLA,DASYN_LLA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
66,rea,DHAt,DHAt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
67,rea,DHFR,DHFR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
68,rea,DHORD6,DHORD6,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
69,rea,DHORDi,DHORDi,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
70,rea,DHORTS,DHORTS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
71,rea,DHQTi,DHQTi,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
72,rea,DIACTt,DIACTt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
73,rea,DSERt2,DSERt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
74,rea,DTMPK,DTMPK,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
75,rea,DURIPP,DURIPP,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
76,rea,ENO,ENO,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
77,rea,ETOHt,ETOHt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
78,rea,EX_4abz_e,EX_4abz_e,id in bigg(bounds different),,"(-0.00999, 1000.0)","(0.0, 1000.0)",
79,rea,EX_ac_e,EX_ac_e,id in bigg(bounds different),,"(0.83, 1.92)","(0.0, 1000.0)",
80,rea,EX_ade_e,EX_ade_e,id in bigg(bounds different),,"(-0.01014, 1000.0)","(0.0, 1000.0)",
81,rea,EX_ala__L_e,EX_ala__L_e,id in bigg(bounds different),,"(-0.04, 0.0)","(0.0, 1000.0)",
82,rea,EX_arg__L_e,EX_arg__L_e,id in bigg(bounds different),,"(-0.02, -0.01)","(0.0, 1000.0)",
83,rea,EX_asp__L_e,EX_asp__L_e,id in bigg(bounds different),,"(-0.01, 0.05)","(0.0, 1000.0)",
84,rea,EX_co2_e,EX_co2_e,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
85,rea,EX_cys__L_e,EX_cys__L_e,id in bigg(bounds different),,"(-0.02, 0.0)","(0.0, 1000.0)",
86,rea,EX_etoh_e,EX_etoh_e,id in bigg(bounds different),,"(0.44, 1.02)","(0.0, 1000.0)",
87,rea,EX_fe2_e,EX_fe2_e,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
88,rea,EX_fe3_e,EX_fe3_e,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
89,rea,EX_for_e,EX_for_e,id in bigg(bounds different),,"(1.71, 3.94)","(0.0, 1000.0)",
90,rea,EX_glc__D_e,EX_glc__D_e,id in bigg(bounds different),,"(-2.12, -0.92)","(0.0, 1000.0)",
91,rea,EX_glu__L_e,EX_glu__L_e,id in bigg(bounds different),,"(-0.05, -0.01)","(0.0, 1000.0)",
92,rea,EX_gly_e,EX_gly_e,id in bigg(bounds different),,"(-0.04, 0.0)","(0.0, 1000.0)",
93,rea,EX_gua_e,EX_gua_e,id in bigg(bounds different),,"(-0.00906, 1000.0)","(0.0, 1000.0)",
94,rea,EX_h2o_e,EX_h2o_e,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
95,rea,EX_h_e,EX_h_e,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
96,rea,EX_his__L_e,EX_his__L_e,id in bigg(bounds different),,"(-0.01, 0.0)","(0.0, 1000.0)",
97,rea,EX_ile__L_e,EX_ile__L_e,id in bigg(bounds different),,"(-0.05, -0.01)","(0.0, 1000.0)",
98,rea,EX_ins_e,EX_ins_e,id in bigg(bounds different),,"(-0.00255, 1000.0)","(0.0, 1000.0)",
99,rea,EX_lac__L_e,EX_lac__L_e,id in bigg(bounds different),,"(0.4, 0.92)","(0.0, 1000.0)",
100,rea,EX_leu__L_e,EX_leu__L_e,id in bigg(bounds different),,"(-0.06, -0.01)","(0.0, 1000.0)",
101,rea,EX_lys__L_e,EX_lys__L_e,id in bigg(bounds different),,"(-0.04, 0.0)","(0.0, 1000.0)",
102,rea,EX_met__L_e,EX_met__L_e,id in bigg(bounds different),,"(-0.01, 0.0)","(0.0, 1000.0)",
103,rea,EX_mn2_e,EX_mn2_e,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
104,rea,EX_nac_e,EX_nac_e,id in bigg(bounds different),,"(-0.00111, 1000.0)","(0.0, 1000.0)",
105,rea,EX_nh4_e,EX_nh4_e,id in bigg(bounds different),,"(-0.59, 0.44)","(0.0, 1000.0)",
106,rea,EX_orn__L_e,EX_orn__L_e,id in bigg(bounds different),,"(0.0, 0.01)","(0.0, 1000.0)",
107,rea,EX_orot_e,EX_orot_e,id in bigg(bounds different),,"(-0.00439, 1000.0)","(0.0, 1000.0)",
108,rea,EX_phe__L_e,EX_phe__L_e,id in bigg(bounds different),,"(-0.02, 0.01)","(0.0, 1000.0)",
109,rea,EX_pi_e,EX_pi_e,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
110,rea,EX_pnto__R_e,EX_pnto__R_e,id in bigg(bounds different),,"(-0.00062, 1000.0)","(0.0, 1000.0)",
111,rea,EX_pro__L_e,EX_pro__L_e,id in bigg(bounds different),,"(0.03, 0.44)","(0.0, 1000.0)",
112,rea,EX_ribflv_e,EX_ribflv_e,id in bigg(bounds different),,"(-0.00036, 1000.0)","(0.0, 1000.0)",
113,rea,EX_ser__L_e,EX_ser__L_e,id in bigg(bounds different),,"(-0.11, -0.04)","(0.0, 1000.0)",
114,rea,EX_thm_e,EX_thm_e,id in bigg(bounds different),,"(-0.00041, 1000.0)","(0.0, 1000.0)",
115,rea,EX_thr__L_e,EX_thr__L_e,id in bigg(bounds different),,"(-0.06, -0.02)","(0.0, 1000.0)",
116,rea,EX_thymd_e,EX_thymd_e,id in bigg(bounds different),,"(-0.00283, 1000.0)","(0.0, 1000.0)",
117,rea,EX_trp__L_e,EX_trp__L_e,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
118,rea,EX_tyr__L_e,EX_tyr__L_e,id in bigg(bounds different),,"(0.0, 0.01)","(0.0, 1000.0)",
119,rea,EX_ura_e,EX_ura_e,id in bigg(bounds different),,"(-0.01222, 1000.0)","(0.0, 1000.0)",
120,rea,EX_val__L_e,EX_val__L_e,id in bigg(bounds different),,"(-0.05, -0.01)","(0.0, 1000.0)",
121,rea,EX_xan_e,EX_xan_e,id in bigg(bounds different),,"(-0.00901, 1000.0)","(0.0, 1000.0)",
122,rea,EX_zn2_e,EX_zn2_e,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
123,rea,FABM,FABM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
124,rea,FABM1,FABM1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
125,rea,FABM2,FABM2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
126,rea,FBA,FBA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
127,rea,FOLR2,FOLR2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
128,rea,FOLt,FOLt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
129,rea,FORt2,FORt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
130,rea,FRDx,FRDx,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
131,rea,G3PD,G3PD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
132,rea,G3PD1ir,G3PD1ir,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
133,rea,G3PD2,G3PD2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
134,rea,G3PD4,G3PD4,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
135,rea,G5SADs,G5SADs,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
136,rea,G6PDH2r,G6PDH2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
137,rea,G6PI,G6PI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
138,rea,GALM,GALM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
139,rea,GALT,GALT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
140,rea,GALUi,GALUi,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
141,rea,GAPD,GAPD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
142,rea,GARFT,GARFT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
143,rea,GCALDt,GCALDt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
144,rea,GHMT2r,GHMT2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
145,rea,GK1,GK1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
146,rea,GK2,GK2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
147,rea,GLCNt2ir,GLCNt2ir,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
148,rea,GLUABUTt7,GLUABUTt7,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
149,rea,GLUR,GLUR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
150,rea,GLYCt,GLYCt,id in bigg(bounds different),,"(-1000.0, 0.0)","(0.0, 1000.0)",
151,rea,GTHOr,GTHOr,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
152,rea,GTHPi,GTHPi,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
153,rea,GUI1,GUI1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
154,rea,GUI2,GUI2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
155,rea,H2Ot,H2Ot,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
156,rea,H2St1,H2St1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
157,rea,HCO3E,HCO3E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
158,rea,HMGCOAR,HMGCOAR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
159,rea,HMGCOAS,HMGCOAS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
160,rea,HSDy,HSDy,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
161,rea,HSERTA,HSERTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
162,rea,ICDHyr,ICDHyr,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
163,rea,ICHORS,ICHORS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
164,rea,ILETA,ILETA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
165,rea,IMPC,IMPC,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
166,rea,INSt2,INSt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
167,rea,IPDDI,IPDDI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
168,rea,IPPMIa,IPPMIa,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
169,rea,IPPMIb,IPPMIb,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
170,rea,KARA1,KARA1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
171,rea,KARA2,KARA2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
172,rea,LCTSt,LCTSt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
173,rea,LDH_L,LDH_L,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
174,rea,LEUTA,LEUTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
175,rea,LYSt2r,LYSt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
176,rea,L_LACt2r,L_LACt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
177,rea,M1PD,M1PD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
178,rea,MAN6PI,MAN6PI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
179,rea,MANAO,MANAO,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
180,rea,MPL,MPL,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
181,rea,MTHFC,MTHFC,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
182,rea,MTHFD,MTHFD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
183,rea,MTHFR3,MTHFR3,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
184,rea,NADH4,NADH4,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
185,rea,NADHPO,NADHPO,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
186,rea,NDPK1,NDPK1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
187,rea,NDPK2,NDPK2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
188,rea,NDPK3,NDPK3,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
189,rea,NDPK4,NDPK4,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
190,rea,NDPK5,NDPK5,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
191,rea,NDPK6,NDPK6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
192,rea,NDPK7,NDPK7,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
193,rea,NDPK8,NDPK8,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
194,rea,NH3c,NH3c,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
195,rea,NH4t,NH4t,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
196,rea,NNAM,NNAM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
197,rea,NOX2,NOX2,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
198,rea,O2t,O2t,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
199,rea,OCBT_1,OCBT_1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
200,rea,OHPBAT,OHPBAT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
201,rea,OIVD1r,OIVD1r,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
202,rea,OIVD2,OIVD2,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
203,rea,OIVD3,OIVD3,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
204,rea,ORNTAC_1,ORNTAC_1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
205,rea,OROATP,OROATP,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
206,rea,ORPT,ORPT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
207,rea,PACALDt,PACALDt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
208,rea,PDH,PDH,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
209,rea,PEAt,PEAt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
210,rea,PFL,PFL,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
211,rea,PGAMT,PGAMT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
212,rea,PGI,PGI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
213,rea,PGK,PGK,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
214,rea,PGM,PGM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
215,rea,PGMT,PGMT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
216,rea,PGMT_B,PGMT_B,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
217,rea,PGSA_LLA,PGSA_LLA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
218,rea,PHEt2r,PHEt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
219,rea,PNTOt2,PNTOt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
220,rea,POR,POR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
221,rea,PPM,PPM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
222,rea,PPM2,PPM2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
223,rea,PRAIi,PRAIi,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
224,rea,PRASCSi,PRASCSi,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
225,rea,PRMICI,PRMICI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
226,rea,PROTS_LLA,PROTS_LLA,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
227,rea,PROTS_LLA_v2,PROTS_LLA_v2,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
228,rea,PRPPS,PRPPS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
229,rea,PSCVT,PSCVT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
230,rea,PTAr,PTAr,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
231,rea,PTPATi,PTPATi,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
232,rea,PUNP1,PUNP1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
233,rea,PUNP2,PUNP2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
234,rea,PUNP3,PUNP3,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
235,rea,PUNP4,PUNP4,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
236,rea,PUNP5,PUNP5,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
237,rea,PUNP6,PUNP6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
238,rea,PUNP7,PUNP7,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
239,rea,PYNP2r,PYNP2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
