,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature1,feature2,other
59,rea,FUM,FUM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
60,rea,G5SADs,G5SADs,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
61,rea,G6PDH2r,G6PDH2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
62,rea,GALM,GALM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
63,rea,GALT,GALT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
64,rea,GAPD,GAPD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
65,rea,GARFT,GARFT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
66,rea,GHMT2r,GHMT2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
67,rea,GK1,GK1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
68,rea,GK2,GK2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
69,rea,GLUDy,GLUDy,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
70,rea,GLUR,GLUR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
71,rea,GLYBt2r,GLYBt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
72,rea,GLYCLTt2r,GLYCLTt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
73,rea,GLYCt,GLYCt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
74,rea,GLYt2r,GLYt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
75,rea,H2Ot,H2Ot,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
76,rea,HCO3E,HCO3E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
77,rea,HMGCOAR,HMGCOAR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
78,rea,HMGCOAS,HMGCOAS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
79,rea,HSDy,HSDy,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
80,rea,HSERTA,HSERTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
81,rea,ILETA,ILETA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
82,rea,ILEt2r,ILEt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
83,rea,IMPC,IMPC,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
84,rea,INSt2,INSt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
85,rea,IPDDI,IPDDI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
86,rea,LCTSt,LCTSt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
87,rea,LDH_D,LDH_D,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
88,rea,LDH_L,LDH_L,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
89,rea,LEUTA,LEUTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
90,rea,LEUt2r,LEUt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
91,rea,LYSt2r,LYSt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
92,rea,L_LACt2r,L_LACt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
93,rea,LacR,LacR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
94,rea,M1PD,M1PD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
95,rea,MALt2r,MALt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
96,rea,MAN6PI,MAN6PI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
97,rea,MDH,MDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
98,rea,METt2r,METt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
99,rea,MTHFC,MTHFC,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
100,rea,MTHFD,MTHFD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
101,rea,NDPK1,NDPK1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
102,rea,NDPK2,NDPK2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
103,rea,NDPK3,NDPK3,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
104,rea,NDPK4,NDPK4,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
105,rea,NDPK5,NDPK5,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
106,rea,NDPK6,NDPK6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
107,rea,NDPK7,NDPK7,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
108,rea,NDPK8,NDPK8,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
109,rea,NDPK9,NDPK9,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
110,rea,O2t,O2t,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
111,rea,ORPT,ORPT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
112,rea,PACALDt,PACALDt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
113,rea,PEAt,PEAt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
114,rea,PFL,PFL,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
115,rea,PGAMT,PGAMT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
116,rea,PGI,PGI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
117,rea,PGMT,PGMT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
118,rea,PHETA1,PHETA1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
119,rea,PHEt2r,PHEt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
120,rea,PMANM,PMANM,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
121,rea,PNTOt2,PNTOt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
122,rea,PPM2,PPM2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
123,rea,PRMICI,PRMICI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
124,rea,PROt2r,PROt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
125,rea,PRPPS,PRPPS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
126,rea,PSCVT,PSCVT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
127,rea,PTAr,PTAr,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
128,rea,PUNP1,PUNP1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
129,rea,PUNP2,PUNP2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
130,rea,PUNP3,PUNP3,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
131,rea,PUNP4,PUNP4,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
132,rea,PUNP5,PUNP5,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
133,rea,PUNP6,PUNP6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
134,rea,PUNP7,PUNP7,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
135,rea,RBP4E,RBP4E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
136,rea,RMI,RMI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
137,rea,RMPA,RMPA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
138,rea,RPE,RPE,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
139,rea,RPI,RPI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
140,rea,SBTPD,SBTPD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
141,rea,SDPTA,SDPTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
142,rea,SERAT,SERAT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
143,rea,SERt2r,SERt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
144,rea,SHK3Dr,SHK3Dr,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
145,rea,SUCCt2r,SUCCt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
146,rea,TALA,TALA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
147,rea,TDPDRE,TDPDRE,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
148,rea,THFGLUS,THFGLUS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
149,rea,TKT1,TKT1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
150,rea,TKT2,TKT2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
151,rea,TPI,TPI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
152,rea,TRPTA,TRPTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
153,rea,TRPt2r,TRPt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
154,rea,TYRTA,TYRTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
155,rea,TYRt2r,TYRt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
156,rea,UAG2E,UAG2E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
157,rea,UDPG4E,UDPG4E,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
158,rea,VALTA,VALTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
159,rea,VALt2r,VALt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
160,rea,YUMPS,YUMPS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
161,rea,3MOPDC,3MOPDC,id in bigg(id in bigg),,,,
162,rea,ABTA,ABTA,id in bigg(id in bigg),,,,
163,rea,ACCOAC,ACCOAC,id in bigg(id in bigg),,,,
164,rea,ACGAMT,ACGAMT,id in bigg(id in bigg),,,,
165,rea,ACGApts,ACGApts,id in bigg(id in bigg),,,,
166,rea,ACGK,ACGK,id in bigg(id in bigg),,,,
167,rea,ACHBS,ACHBS,id in bigg(id in bigg),,,,
168,rea,ACLDC,ACLDC,id in bigg(id in bigg),,,,
169,rea,ACLS,ACLS,id in bigg(id in bigg),,,,
170,rea,ACNML,ACNML,id in bigg(id in bigg),,,,
171,rea,ACPS2,ACPS2,id in bigg(id in bigg),,,,
172,rea,ACYP_2,ACYP_2,id in bigg(id in bigg),,,,
173,rea,ADA,ADA,id in bigg(id in bigg),,,,
174,rea,ADCL,ADCL,id in bigg(id in bigg),,,,
175,rea,ADCS,ADCS,id in bigg(id in bigg),,,,
176,rea,ADD,ADD,id in bigg(id in bigg),,,,
177,rea,ADNUC,ADNUC,id in bigg(id in bigg),,,,
178,rea,ADPDS,ADPDS,id in bigg(id in bigg),,,,
179,rea,ADPRDP,ADPRDP,id in bigg(id in bigg),,,,
180,rea,ADPT,ADPT,id in bigg(id in bigg),,,,
181,rea,ADSK,ADSK,id in bigg(id in bigg),,,,
182,rea,ADSS,ADSS,id in bigg(id in bigg),,,,
183,rea,AEPabc,AEPabc,id in bigg(id in bigg),,,,
184,rea,AGDC,AGDC,id in bigg(id in bigg),,,,
185,rea,AHCYSNS,AHCYSNS,id in bigg(id in bigg),,,,
186,rea,ALDD2x,ALDD2x,id in bigg(id in bigg),,,,
187,rea,ALKP,ALKP,id in bigg(id in bigg),,,,
188,rea,ALOX,ALOX,id in bigg(id in bigg),,,,
189,rea,AMAA,AMAA,id in bigg(id in bigg),,,,
190,rea,AMANK,AMANK,id in bigg(id in bigg),,,,
191,rea,ANPRT,ANPRT,id in bigg(id in bigg),,,,
192,rea,ANS,ANS,id in bigg(id in bigg),,,,
193,rea,ARGSS,ARGSS,id in bigg(id in bigg),,,,
194,rea,ASNN,ASNN,id in bigg(id in bigg),,,,
195,rea,ASNS1,ASNS1,id in bigg(id in bigg),,,,
196,rea,ASNS2,ASNS2,id in bigg(id in bigg),,,,
197,rea,ASP1DC,ASP1DC,id in bigg(id in bigg),,,,
198,rea,ASPCT,ASPCT,id in bigg(id in bigg),,,,
199,rea,ASPT,ASPT,id in bigg(id in bigg),,,,
200,rea,ATPPRT,ATPPRT,id in bigg(id in bigg),,,,
201,rea,BGLA1,BGLA1,id in bigg(id in bigg),,,,
202,rea,BTMAT1,BTMAT1,id in bigg(id in bigg),,,,
203,rea,BTNt2i,BTNt2i,id in bigg(id in bigg),,,,
204,rea,CAT,CAT,id in bigg(id in bigg),,,,
205,rea,CBPS,CBPS,id in bigg(id in bigg),,,,
206,rea,CDPMEK,CDPMEK,id in bigg(id in bigg),,,,
207,rea,CELBpts,CELBpts,id in bigg(id in bigg),,,,
208,rea,CFAS180,CFAS180,id in bigg(id in bigg),,,,
209,rea,CGPT,CGPT,id in bigg(id in bigg),,,,
210,rea,CHLabc,CHLabc,id in bigg(id in bigg),,,,
211,rea,CHORM,CHORM,id in bigg(id in bigg),,,,
212,rea,CHORS,CHORS,id in bigg(id in bigg),,,,
213,rea,CITL,CITL,id in bigg(id in bigg),,,,
214,rea,CMLDC,CMLDC,id in bigg(id in bigg),,,,
215,rea,CRPT_25,CRPT_25,id in bigg(id in bigg),,,,
216,rea,CSND,CSND,id in bigg(id in bigg),,,,
217,rea,CTPS1,CTPS1,id in bigg(id in bigg),,,,
218,rea,CTPS2,CTPS2,id in bigg(id in bigg),,,,
219,rea,CYSS,CYSS,id in bigg(id in bigg),,,,
220,rea,CYTB_B2,CYTB_B2,id in bigg(id in bigg),,,,
221,rea,CYTDK1,CYTDK1,id in bigg(id in bigg),,,,
222,rea,CYTDK2,CYTDK2,id in bigg(id in bigg),,,,
223,rea,DADNK,DADNK,id in bigg(id in bigg),,,,
224,rea,DAPDC,DAPDC,id in bigg(id in bigg),,,,
225,rea,DB4PS,DB4PS,id in bigg(id in bigg),,,,
226,rea,DDGLK,DDGLK,id in bigg(id in bigg),,,,
227,rea,DDMAT5,DDMAT5,id in bigg(id in bigg),,,,
228,rea,DDPA,DDPA,id in bigg(id in bigg),,,,
229,rea,DEMAT4,DEMAT4,id in bigg(id in bigg),,,,
230,rea,DGNSK,DGNSK,id in bigg(id in bigg),,,,
231,rea,DHAPT,DHAPT,id in bigg(id in bigg),,,,
232,rea,DHDPRy,DHDPRy,id in bigg(id in bigg),,,,
233,rea,DHDPS,DHDPS,id in bigg(id in bigg),,,,
234,rea,DHFS,DHFS,id in bigg(id in bigg),,,,
235,rea,DHPTDCs,DHPTDCs,id in bigg(id in bigg),,,,
236,rea,DHQS,DHQS,id in bigg(id in bigg),,,,
237,rea,DINSK,DINSK,id in bigg(id in bigg),,,,
238,rea,DMATT,DMATT,id in bigg(id in bigg),,,,
239,rea,DPCOAK,DPCOAK,id in bigg(id in bigg),,,,
240,rea,DPMVD,DPMVD,id in bigg(id in bigg),,,,
241,rea,DPR,DPR,id in bigg(id in bigg),,,,
242,rea,DRBK,DRBK,id in bigg(id in bigg),,,,
243,rea,DRIBt2,DRIBt2,id in bigg(id in bigg),,,,
244,rea,DRPA,DRPA,id in bigg(id in bigg),,,,
245,rea,DURIK1,DURIK1,id in bigg(id in bigg),,,,
246,rea,DUTPDP,DUTPDP,id in bigg(id in bigg),,,,
247,rea,DXPS,DXPS,id in bigg(id in bigg),,,,
248,rea,FFSD,FFSD,id in bigg(id in bigg),,,,
249,rea,FMETDF,FMETDF,id in bigg(id in bigg),,,,
250,rea,FMNAT,FMNAT,id in bigg(id in bigg),,,,
251,rea,FRUK,FRUK,id in bigg(id in bigg),,,,
252,rea,FRUpts,FRUpts,id in bigg(id in bigg),,,,
253,rea,G1PACT,G1PACT,id in bigg(id in bigg),,,,
254,rea,G1PTMT,G1PTMT,id in bigg(id in bigg),,,,
255,rea,G3PCT,G3PCT,id in bigg(id in bigg),,,,
256,rea,G5SD,G5SD,id in bigg(id in bigg),,,,
257,rea,G6PDA,G6PDA,id in bigg(id in bigg),,,,
258,rea,GALK2,GALK2,id in bigg(id in bigg),,,,
259,rea,GALS3,GALS3,id in bigg(id in bigg),,,,
260,rea,GALTpts,GALTpts,id in bigg(id in bigg),,,,
261,rea,GCALDD,GCALDD,id in bigg(id in bigg),,,,
262,rea,GF6PTA,GF6PTA,id in bigg(id in bigg),,,,
263,rea,GLCP,GLCP,id in bigg(id in bigg),,,,
264,rea,GLCS1,GLCS1,id in bigg(id in bigg),,,,
265,rea,GLCpts,GLCpts,id in bigg(id in bigg),,,,
266,rea,GLGC,GLGC,id in bigg(id in bigg),,,,
267,rea,GLNS,GLNS,id in bigg(id in bigg),,,,
268,rea,GLNabc,GLNabc,id in bigg(id in bigg),,,,
269,rea,GLU5K,GLU5K,id in bigg(id in bigg),,,,
270,rea,GLUCYS,GLUCYS,id in bigg(id in bigg),,,,
271,rea,GLUDC,GLUDC,id in bigg(id in bigg),,,,
272,rea,GLUPRT,GLUPRT,id in bigg(id in bigg),,,,
273,rea,GLYBabc,GLYBabc,id in bigg(id in bigg),,,,
274,rea,GLYCK,GLYCK,id in bigg(id in bigg),,,,
275,rea,GLYK,GLYK,id in bigg(id in bigg),,,,
276,rea,GMPR,GMPR,id in bigg(id in bigg),,,,
277,rea,GMPS2,GMPS2,id in bigg(id in bigg),,,,
278,rea,GND,GND,id in bigg(id in bigg),,,,
279,rea,GNNUC,GNNUC,id in bigg(id in bigg),,,,
280,rea,GPDDA1,GPDDA1,id in bigg(id in bigg),,,,
281,rea,GPDDA2,GPDDA2,id in bigg(id in bigg),,,,
282,rea,GPDDA3,GPDDA3,id in bigg(id in bigg),,,,
283,rea,GPDDA4,GPDDA4,id in bigg(id in bigg),,,,
284,rea,GPDDA5,GPDDA5,id in bigg(id in bigg),,,,
285,rea,GRTT,GRTT,id in bigg(id in bigg),,,,
286,rea,GTHS,GTHS,id in bigg(id in bigg),,,,
287,rea,GTPCI,GTPCI,id in bigg(id in bigg),,,,
288,rea,GTPDPK,GTPDPK,id in bigg(id in bigg),,,,
289,rea,GUAPRT,GUAPRT,id in bigg(id in bigg),,,,
290,rea,HBUHL1,HBUHL1,id in bigg(id in bigg),,,,
291,rea,HBUR1,HBUR1,id in bigg(id in bigg),,,,
292,rea,HCYSMT,HCYSMT,id in bigg(id in bigg),,,,
293,rea,HDDHL5,HDDHL5,id in bigg(id in bigg),,,,
294,rea,HDDR5,HDDR5,id in bigg(id in bigg),,,,
295,rea,HDEHL4,HDEHL4,id in bigg(id in bigg),,,,
296,rea,HDER4,HDER4,id in bigg(id in bigg),,,,
297,rea,HDMAT7,HDMAT7,id in bigg(id in bigg),,,,
298,rea,HEMAT2,HEMAT2,id in bigg(id in bigg),,,,
299,rea,HETZK,HETZK,id in bigg(id in bigg),,,,
300,rea,HEX1,HEX1,id in bigg(id in bigg),,,,
301,rea,HHDHL7,HHDHL7,id in bigg(id in bigg),,,,
302,rea,HHDR7,HHDR7,id in bigg(id in bigg),,,,
303,rea,HHYHL2,HHYHL2,id in bigg(id in bigg),,,,
304,rea,HHYR2,HHYR2,id in bigg(id in bigg),,,,
305,rea,HIBD,HIBD,id in bigg(id in bigg),,,,
306,rea,HISDC,HISDC,id in bigg(id in bigg),,,,
