# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	9599	9877	-	WP_003666969.1	WP_003666969.1		hypothetical protein			HMPREF0536_RS05815	279	92	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	9889	10692	-							HMPREF0536_RS05820	804		old_locus_tag=HMPREF0536_11123
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	9889	10692	-	WP_003666968.1	WP_003666968.1		phage repressor protein/antirepressor Ant			HMPREF0536_RS05820	804	267	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	10711	10914	-							HMPREF0536_RS05825	204		old_locus_tag=HMPREF0536_11124
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	10711	10914	-	WP_003666967.1	WP_003666967.1		XRE family transcriptional regulator			HMPREF0536_RS05825	204	67	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	11057	11530	+							HMPREF0536_RS05830	474		old_locus_tag=HMPREF0536_11125
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	11057	11530	+	WP_003666965.1	WP_003666965.1		XRE family transcriptional regulator			HMPREF0536_RS05830	474	157	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	11543	11983	+							HMPREF0536_RS05835	441		old_locus_tag=HMPREF0536_11126
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	11543	11983	+	WP_003666963.1	WP_003666963.1		ImmA/IrrE family metallo-endopeptidase			HMPREF0536_RS05835	441	146	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	12112	12621	+							HMPREF0536_RS05840	510		old_locus_tag=HMPREF0536_11127
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	12112	12621	+	WP_003666961.1	WP_003666961.1		hypothetical protein			HMPREF0536_RS05840	510	169	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	12784	13101	+							HMPREF0536_RS05845	318		old_locus_tag=HMPREF0536_11128
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	12784	13101	+	WP_003666960.1	WP_003666960.1		hypothetical protein			HMPREF0536_RS05845	318	105	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	13104	14234	+							HMPREF0536_RS05850	1131		old_locus_tag=HMPREF0536_11129
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	13104	14234	+	WP_003666958.1	WP_003666958.1		site-specific integrase			HMPREF0536_RS05850	1131	376	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	14348	14707	-							HMPREF0536_RS05855	360		old_locus_tag=HMPREF0536_11130
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	14348	14707	-	WP_003675625.1	WP_003675625.1		50S ribosomal protein L19			HMPREF0536_RS05855	360	119	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	14830	16260	-							HMPREF0536_RS05860	1431		old_locus_tag=HMPREF0536_11131
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	14830	16260	-	WP_003668364.1	WP_003668364.1		amino acid permease			HMPREF0536_RS05860	1431	476	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	16271	17029	-							HMPREF0536_RS05865	759		old_locus_tag=HMPREF0536_11132
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	16271	17029	-	WP_003663813.1	WP_003663813.1		tRNA (guanosine(37)-N1)-methyltransferase TrmD			HMPREF0536_RS05865	759	252	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	17029	17535	-							HMPREF0536_RS05870	507		old_locus_tag=HMPREF0536_11133
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	17029	17535	-	WP_003668365.1	WP_003668365.1		ribosome maturation factor RimM			HMPREF0536_RS05870	507	168	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	17590	17850	-							HMPREF0536_RS05875	261		old_locus_tag=HMPREF0536_11134
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	17590	17850	-	WP_003668367.1	WP_003668367.1		KH domain-containing protein			HMPREF0536_RS05875	261	86	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	17863	18138	-							HMPREF0536_RS05880	276		old_locus_tag=HMPREF0536_11135
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	17863	18138	-	WP_003663816.1	WP_003663816.1		30S ribosomal protein S16			HMPREF0536_RS05880	276	91	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	18237	19682	-							HMPREF0536_RS05885	1446		old_locus_tag=HMPREF0536_11136
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	18237	19682	-	WP_003668369.1	WP_003668369.1		signal recognition particle protein			HMPREF0536_RS05885	1446	481	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	19684	20025	-							HMPREF0536_RS05890	342		old_locus_tag=HMPREF0536_11137
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	19684	20025	-	WP_003663818.1	WP_003663818.1		putative DNA-binding protein			HMPREF0536_RS05890	342	113	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	20040	21566	-							HMPREF0536_RS05895	1527		old_locus_tag=HMPREF0536_11138
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	20040	21566	-	WP_003668372.1	WP_003668372.1		signal recognition particle-docking protein FtsY			HMPREF0536_RS05895	1527	508	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	21589	25152	-							HMPREF0536_RS05900	3564		old_locus_tag=HMPREF0536_11139
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	21589	25152	-	WP_003668374.1	WP_003668374.1		chromosome segregation protein SMC			HMPREF0536_RS05900	3564	1187	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	25169	25870	-							HMPREF0536_RS05905	702		old_locus_tag=HMPREF0536_11140
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	25169	25870	-	WP_003663822.1	WP_003663822.1		ribonuclease 3			HMPREF0536_RS05905	702	233	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	26047	26301	-							HMPREF0536_RS05910	255		old_locus_tag=HMPREF0536_11141
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	26047	26301	-	WP_003663823.1	WP_003663823.1		acyl carrier protein			HMPREF0536_RS05910	255	84	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	26338	27369	-							HMPREF0536_RS05915	1032		old_locus_tag=HMPREF0536_11142
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	26338	27369	-	WP_003668375.1	WP_003668375.1		phosphate acyltransferase			HMPREF0536_RS05915	1032	343	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	27387	29423	-							HMPREF0536_RS05920	2037		old_locus_tag=HMPREF0536_11143
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	27387	29423	-	WP_011953502.1	WP_011953502.1		DNA helicase RecG			HMPREF0536_RS05920	2037	678	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	29526	31235	-							HMPREF0536_RS05925	1710		old_locus_tag=HMPREF0536_11144
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	29526	31235	-	WP_011953503.1	WP_011953503.1		DAK2 domain-containing protein			HMPREF0536_RS05925	1710	569	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	31261	31623	-							HMPREF0536_RS05930	363		old_locus_tag=HMPREF0536_11145
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	31261	31623	-	WP_003663831.1	WP_003663831.1		Asp23/Gls24 family envelope stress response protein			HMPREF0536_RS05930	363	120	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	31818	32003	-							HMPREF0536_RS05935	186		old_locus_tag=HMPREF0536_11146
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	31818	32003	-	WP_003663833.1	WP_003663833.1		50S ribosomal protein L28			HMPREF0536_RS05935	186	61	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	32153	32803	-							HMPREF0536_RS05940	651		old_locus_tag=HMPREF0536_11147
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	32153	32803	-	WP_003668380.1	WP_003668380.1		thiamine diphosphokinase			HMPREF0536_RS05940	651	216	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	32889	33542	-							HMPREF0536_RS05945	654		old_locus_tag=HMPREF0536_11148
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	32889	33542	-	WP_003663836.1	WP_003663836.1		ribulose-phosphate 3-epimerase			HMPREF0536_RS05945	654	217	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	33553	34443	-							HMPREF0536_RS05950	891		old_locus_tag=HMPREF0536_11149
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	33553	34443	-	WP_003668384.1	WP_003668384.1		ribosome biogenesis GTPase RsgA			HMPREF0536_RS05950	891	296	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	34456	36360	-							HMPREF0536_RS05955	1905		old_locus_tag=HMPREF0536_11150
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	34456	36360	-	WP_003668386.1	WP_003668386.1		Stk1 family PASTA domain-containing Ser/Thr kinase			HMPREF0536_RS05955	1905	634	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	36364	37104	-							HMPREF0536_RS05960	741		old_locus_tag=HMPREF0536_11151
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	36364	37104	-	WP_003668388.1	WP_003668388.1		Stp1/IreP family PP2C-type Ser/Thr phosphatase			HMPREF0536_RS05960	741	246	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	37112	38461	-							HMPREF0536_RS05965	1350		old_locus_tag=HMPREF0536_11152
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	37112	38461	-	WP_003668390.1	WP_003668390.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB			HMPREF0536_RS05965	1350	449	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	38451	39404	-							HMPREF0536_RS05970	954		old_locus_tag=HMPREF0536_11153
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	38451	39404	-	WP_003668391.1	WP_003668391.1		methionyl-tRNA formyltransferase			HMPREF0536_RS05970	954	317	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	39422	41851	-							HMPREF0536_RS05975	2430		old_locus_tag=HMPREF0536_11154
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	39422	41851	-	WP_003668393.1	WP_003668393.1		primosomal protein N'			HMPREF0536_RS05975	2430	809	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	41852	43057	-							HMPREF0536_RS05980	1206		old_locus_tag=HMPREF0536_11155
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	41852	43057	-	WP_003668395.1	WP_003668395.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC			HMPREF0536_RS05980	1206	401	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	43168	43386	-							HMPREF0536_RS05985	219		old_locus_tag=HMPREF0536_11156
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	43168	43386	-	WP_003663855.1	WP_003663855.1		DNA-directed RNA polymerase subunit omega			HMPREF0536_RS05985	219	72	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	43383	44003	-							HMPREF0536_RS05990	621		old_locus_tag=HMPREF0536_11157
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	43383	44003	-	WP_003663856.1	WP_003663856.1		guanylate kinase			HMPREF0536_RS05990	621	206	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	44144	44494	+							HMPREF0536_RS05995	351		old_locus_tag=HMPREF0536_11158
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	44144	44494	+	WP_003668397.1	WP_003668397.1		hypothetical protein			HMPREF0536_RS05995	351	116	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	44770	46449	-							HMPREF0536_RS06000	1680		old_locus_tag=HMPREF0536_11159
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	44770	46449	-	WP_003668399.1	WP_003668399.1		DNA repair protein RecN			HMPREF0536_RS06000	1680	559	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	46465	46917	-							HMPREF0536_RS06005	453		old_locus_tag=HMPREF0536_11160
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	46465	46917	-	WP_003668400.1	WP_003668400.1		ArgR family transcriptional regulator			HMPREF0536_RS06005	453	150	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	46936	47757	-							HMPREF0536_RS06010	822		old_locus_tag=HMPREF0536_11161
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	46936	47757	-	WP_003668402.1	WP_003668402.1		TlyA family rRNA (cytidine-2'-O)-methyltransferase			HMPREF0536_RS06010	822	273	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	47769	48641	-							HMPREF0536_RS06015	873		old_locus_tag=HMPREF0536_11162
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	47769	48641	-	WP_003668404.1	WP_003668404.1		polyprenyl synthetase family protein			HMPREF0536_RS06015	873	290	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	48660	48941	-							HMPREF0536_RS06020	282		old_locus_tag=HMPREF0536_11163
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	48660	48941	-	WP_003663862.1	WP_003663862.1		exodeoxyribonuclease 7 small subunit			HMPREF0536_RS06020	282	93	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	48943	50280	-							HMPREF0536_RS06025	1338		old_locus_tag=HMPREF0536_11164
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	48943	50280	-	WP_003668406.1	WP_003668406.1		exodeoxyribonuclease 7 large subunit			HMPREF0536_RS06025	1338	445	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	50273	51133	-							HMPREF0536_RS06030	861		old_locus_tag=HMPREF0536_11165
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	50273	51133	-	WP_003668408.1	WP_003668408.1		bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase			HMPREF0536_RS06030	861	286	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	51262	51678	-							HMPREF0536_RS06035	417		old_locus_tag=HMPREF0536_11166
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	51262	51678	-	WP_011953504.1	WP_011953504.1		N utilization substance protein B			HMPREF0536_RS06035	417	138	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	51680	52117	-							HMPREF0536_RS06040	438		old_locus_tag=HMPREF0536_11167
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	51680	52117	-	WP_003663867.1	WP_003663867.1		Asp23/Gls24 family envelope stress response protein			HMPREF0536_RS06040	438	145	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	52207	52881	-							HMPREF0536_RS06045	675		old_locus_tag=HMPREF0536_11168
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	52207	52881	-	WP_003668411.1	WP_003668411.1		hypothetical protein			HMPREF0536_RS06045	675	224	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	52883	53959	-							HMPREF0536_RS06050	1077		old_locus_tag=HMPREF0536_11169
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	52883	53959	-	WP_003668413.1	WP_003668413.1		aminopeptidase P family protein			HMPREF0536_RS06050	1077	358	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	53972	54679	-							HMPREF0536_RS06055	708		old_locus_tag=HMPREF0536_11170
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	53972	54679	-	WP_003668415.1	WP_003668415.1		YggS family pyridoxal phosphate-dependent enzyme			HMPREF0536_RS06055	708	235	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	54805	55086	-							HMPREF0536_RS06060	282		old_locus_tag=HMPREF0536_11171
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	54805	55086	-	WP_003664006.1	WP_003664006.1		50S ribosomal protein L27			HMPREF0536_RS06060	282	93	
